#Conversion,tBuOH,Conversion,iBuOH,Conversion,sBuOH,Conversion,nBuOH,,,,,,,
6.30E-07,-4.73E-09,7.65E-08,-6.50E-10,5.27E-08,-4.91E-10,2.34E-08,-2.56E-10
7.85E-07,-5.80E-09,1.00E-07,-8.40E-10,5.78E-08,-5.36E-10,2.87E-08,-3.12E-10
9.40E-07,-6.85E-09,1.24E-07,-1.03E-09,6.28E-08,-5.81E-10,3.54E-08,-3.82E-10
9.50E-07,-6.91E-09,1.48E-07,-1.21E-09,7.10E-08,-6.52E-10,4.28E-08,-4.58E-10
1.15E-06,-8.21E-09,1.72E-07,-1.38E-09,8.02E-08,-7.32E-10,5.02E-08,-5.33E-10
1.31E-06,-9.20E-09,1.96E-07,-1.56E-09,8.95E-08,-8.10E-10,5.77E-08,-6.07E-10
1.44E-06,-1.00E-08,2.21E-07,-1.73E-09,9.87E-08,-8.88E-10,6.52E-08,-6.80E-10
1.63E-06,-1.11E-08,2.45E-07,-1.89E-09,1.08E-07,-9.65E-10,7.27E-08,-7.52E-10
1.79E-06,-1.20E-08,2.85E-07,-2.15E-09,1.17E-07,-1.04E-09,7.93E-08,-8.14E-10
1.94E-06,-1.28E-08,3.30E-07,-2.42E-09,1.27E-07,-1.11E-09,8.52E-08,-8.68E-10
2.21E-06,-1.43E-08,3.76E-07,-2.68E-09,1.36E-07,-1.19E-09,9.09E-08,-9.20E-10
2.44E-06,-1.54E-08,4.23E-07,-2.93E-09,1.46E-07,-1.26E-09,1.00E-07,-1.00E-09
2.80E-06,-1.71E-08,4.70E-07,-3.16E-09,1.62E-07,-1.38E-09,1.12E-07,-1.10E-09
2.96E-06,-1.78E-08,5.17E-07,-3.38E-09,1.81E-07,-1.52E-09,1.23E-07,-1.20E-09
3.31E-06,-1.92E-08,5.66E-07,-3.59E-09,2.00E-07,-1.65E-09,1.35E-07,-1.29E-09
3.49E-06,-1.99E-08,5.77E-07,-3.63E-09,2.19E-07,-1.78E-09,1.58E-07,-1.47E-09
3.82E-06,-2.12E-08,6.31E-07,-3.84E-09,2.39E-07,-1.91E-09,1.82E-07,-1.64E-09
4.02E-06,-2.18E-08,7.24E-07,-4.15E-09,2.65E-07,-2.08E-09,2.06E-07,-1.79E-09
4.54E-06,-2.34E-08,8.17E-07,-4.41E-09,2.93E-07,-2.24E-09,2.31E-07,-1.93E-09
