Ret.Time, min	Absolute Intensity, A.U.	Relative Intensity
32.788	309107	1.63
32.794	325001	1.71
32.800	330459	1.74
32.805	338571	1.78
32.811	335476	1.77
32.816	323440	1.70
32.822	307358	1.62
32.827	289444	1.52
32.833	264058	1.39
32.838	243788	1.28
32.843	219065	1.15
32.849	199301	1.05
32.855	177819	0.94
32.860	154560	0.81
32.866	138757	0.73
32.871	124475	0.66
32.877	114344	0.60
32.882	104729	0.55
32.888	103718	0.55
32.893	98673	0.52
32.898	97320	0.51
32.904	98769	0.52
32.910	99917	0.53
32.915	103866	0.55
32.921	105197	0.55
32.926	105862	0.56
32.932	105028	0.55
32.937	105378	0.55
32.943	101648	0.54
32.948	98912	0.52
32.953	94093	0.50
32.959	90714	0.48
32.965	87422	0.46
32.970	79018	0.42
32.976	72837	0.38
32.981	65026	0.34
32.986	62268	0.33
32.992	55407	0.29
32.998	48213	0.25
33.003	42860	0.23
33.009	39211	0.21
33.014	36960	0.19
33.020	31498	0.17
33.025	27643	0.15
33.031	24818	0.13
33.036	21987	0.12
33.041	21019	0.11
33.047	19198	0.10
33.053	16347	0.09
33.058	14580	0.08
33.064	14038	0.07
33.069	12413	0.07
33.075	11908	0.06
33.080	11211	0.06
33.086	10673	0.06
33.091	10672	0.06
33.096	10432	0.05
33.102	9354	0.05
33.108	10567	0.06
33.113	8490	0.04
33.119	9343	0.05
33.124	10068	0.05
33.130	10895	0.06
33.135	10740	0.06
33.141	11571	0.06
33.146	11686	0.06
33.151	16523	0.09
33.157	16379	0.09
33.163	18700	0.10
33.168	24340	0.13
33.174	27055	0.14
33.179	31791	0.17
33.185	34652	0.18
33.190	37611	0.20
33.196	43324	0.23
33.201	48261	0.25
33.206	52558	0.28
33.212	57062	0.30
33.218	59743	0.31
33.223	65796	0.35
33.229	67204	0.35
33.234	67753	0.36
33.240	69743	0.37
33.245	67190	0.35
33.251	62822	0.33
33.256	64177	0.34
33.261	60855	0.32
33.267	61155	0.32
33.273	56132	0.30
33.278	51633	0.27
33.284	49355	0.26
33.289	47173	0.25
33.294	43404	0.23
33.300	41907	0.22
33.306	39605	0.21
33.311	38461	0.20
33.317	38957	0.21
33.322	39174	0.21
33.328	38558	0.20
33.333	39372	0.21
33.339	41137	0.22
33.344	40410	0.21
33.349	41197	0.22
33.355	40869	0.22
33.361	41693	0.22
33.366	40727	0.21
33.372	42539	0.22
33.377	39693	0.21
33.383	37720	0.20
33.388	35539	0.19
33.394	33179	0.17
33.399	31944	0.17
33.404	27589	0.15
33.410	27214	0.14
33.416	22872	0.12
33.421	21426	0.11
33.427	18340	0.10
33.432	16572	0.09
33.438	15703	0.08
33.443	15881	0.08
33.449	14952	0.08
33.454	14065	0.07
33.459	16446	0.09
33.465	16269	0.09
33.471	19682	0.10
33.476	21869	0.12
33.482	25368	0.13
33.487	29692	0.16
33.493	33181	0.17
33.498	38065	0.20
33.504	43757	0.23
33.509	47404	0.25
33.514	52649	0.28
33.520	59335	0.31
33.526	60112	0.32
33.531	65591	0.35
33.537	69185	0.36
33.542	66523	0.35
33.547	71444	0.38
33.553	72252	0.38
33.559	69902	0.37
33.564	67528	0.36
33.570	66613	0.35
33.575	63148	0.33
33.581	58977	0.31
33.586	53833	0.28
33.592	51287	0.27
33.597	48451	0.26
33.602	44397	0.23
33.608	40230	0.21
33.614	37744	0.20
33.619	34045	0.18
33.625	32206	0.17
33.630	29168	0.15
33.636	24949	0.13
33.641	20272	0.11
33.647	17616	0.09
33.652	16961	0.09
33.657	13846	0.07
33.663	12132	0.06
33.669	11056	0.06
33.674	10427	0.05
33.680	8256	0.04
33.685	9237	0.05
33.691	8201	0.04
33.696	6158	0.03
33.702	7348	0.04
33.707	5985	0.03
33.712	6375	0.03
33.718	5211	0.03
33.724	5115	0.03
33.729	4762	0.03
33.735	4824	0.03
33.740	4605	0.02
33.746	4852	0.03
33.751	4672	0.02
33.757	4873	0.03
33.762	4879	0.03
33.767	4505	0.02
33.773	4297	0.02
33.779	5173	0.03
33.784	5227	0.03
33.790	6006	0.03
33.795	6919	0.04
33.801	7382	0.04
33.806	11566	0.06
33.812	14443	0.08
33.817	18812	0.10
33.823	24995	0.13
33.828	32397	0.17
33.834	38811	0.20
33.839	46900	0.25
33.845	57382	0.30
33.850	69801	0.37
33.855	81814	0.43
33.861	95868	0.50
33.867	110723	0.58
33.872	124170	0.65
33.878	138259	0.73
33.883	148744	0.78
33.889	158482	0.83
33.894	169635	0.89
33.900	171695	0.90
33.905	174478	0.92
33.910	173187	0.91
33.916	165839	0.87
33.922	164481	0.87
33.927	150024	0.79
33.933	138009	0.73
33.938	126234	0.66
33.944	113615	0.60
33.949	99670	0.52
33.955	87184	0.46
33.960	76866	0.40
33.965	66792	0.35
33.971	58225	0.31
33.977	50631	0.27
33.982	44444	0.23
33.988	39410	0.21
33.993	33950	0.18
33.999	29165	0.15
34.004	27123	0.14
34.010	25020	0.13
34.015	24145	0.13
34.020	22703	0.12
34.026	22194	0.12
34.032	22282	0.12
34.037	22730	0.12
34.043	25094	0.13
34.048	25286	0.13
34.054	26942	0.14
34.059	28495	0.15
34.065	29306	0.15
34.070	29390	0.15
34.075	30051	0.16
34.081	31833	0.17
34.087	31086	0.16
34.092	31037	0.16
34.098	31422	0.17
34.103	29228	0.15
34.108	30630	0.16
34.114	27644	0.15
34.120	27572	0.15
34.125	26251	0.14
34.131	26857	0.14
34.136	26632	0.14
34.142	25769	0.14
34.147	26574	0.14
34.153	24998	0.13
34.158	28435	0.15
34.163	29242	0.15
34.169	30898	0.16
34.175	32784	0.17
34.180	35425	0.19
34.186	37514	0.20
34.191	39918	0.21
34.197	41956	0.22
34.202	44372	0.23
34.208	48534	0.26
34.213	50112	0.26
34.218	51015	0.27
34.224	53454	0.28
34.230	52502	0.28
34.235	52155	0.27
34.241	49916	0.26
34.246	48833	0.26
34.252	47386	0.25
34.257	43770	0.23
34.263	42088	0.22
34.268	38624	0.20
34.273	36592	0.19
34.279	33081	0.17
34.285	29243	0.15
34.290	25933	0.14
34.296	24115	0.13
34.301	21174	0.11
34.307	19962	0.11
34.312	15664	0.08
34.318	13247	0.07
34.323	11542	0.06
34.328	10948	0.06
34.334	8625	0.05
34.340	9042	0.05
34.345	6373	0.03
34.351	6478	0.03
34.356	5902	0.03
34.361	6065	0.03
34.367	5796	0.03
34.373	4977	0.03
34.378	4686	0.02
34.384	4940	0.03
34.389	5229	0.03
34.395	4739	0.02
34.400	4741	0.02
34.406	4786	0.03
34.411	4768	0.03
34.416	5119	0.03
34.422	4883	0.03
34.428	4291	0.02
34.433	4948	0.03
34.439	5040	0.03
34.444	4850	0.03
34.450	4572	0.02
34.455	4832	0.03
34.461	5322	0.03
34.466	4595	0.02
34.471	4951	0.03
34.477	5455	0.03
34.483	7292	0.04
34.488	5834	0.03
34.494	7685	0.04
34.499	8908	0.05
34.505	9766	0.05
34.510	8687	0.05
34.516	10067	0.05
34.521	11713	0.06
34.526	10730	0.06
34.532	12439	0.07
34.538	13747	0.07
34.543	13006	0.07
34.549	13160	0.07
34.554	12669	0.07
34.560	12091	0.06
34.565	13135	0.07
34.571	11945	0.06
34.576	13134	0.07
34.581	12850	0.07
34.587	13606	0.07
34.593	13186	0.07
34.598	13758	0.07
34.604	14248	0.07
34.609	15659	0.08
34.615	17834	0.09
34.620	23899	0.13
34.626	29342	0.15
34.631	32869	0.17
34.637	40224	0.21
34.642	50398	0.27
34.648	60753	0.32
34.653	66880	0.35
34.659	79579	0.42
34.664	89130	0.47
34.669	101788	0.54
34.675	113887	0.60
34.681	128980	0.68
34.686	133901	0.70
34.692	142900	0.75
34.697	149098	0.78
34.703	156921	0.83
34.708	158159	0.83
34.714	161543	0.85
34.719	161266	0.85
34.724	152903	0.80
34.730	150121	0.79
34.736	146242	0.77
34.741	139377	0.73
34.747	127035	0.67
34.752	119541	0.63
34.758	106068	0.56
34.763	96296	0.51
34.769	86260	0.45
34.774	73971	0.39
34.779	65842	0.35
34.785	58778	0.31
34.791	50978	0.27
34.796	46834	0.25
34.802	39610	0.21
34.807	38109	0.20
34.813	38995	0.21
34.818	37215	0.20
34.824	38453	0.20
34.829	41654	0.22
34.834	47786	0.25
34.840	56172	0.30
34.846	67834	0.36
34.851	86748	0.46
34.857	106361	0.56
34.862	135442	0.71
34.868	163339	0.86
34.873	202876	1.07
34.879	247292	1.30
34.884	298399	1.57
34.889	357176	1.88
34.895	403047	2.12
34.901	460361	2.42
34.906	515572	2.71
34.912	568828	2.99
34.917	611971	3.22
34.922	652684	3.44
34.928	679498	3.58
34.934	700870	3.69
34.939	696763	3.67
34.945	684069	3.60
34.950	658213	3.46
34.956	628987	3.31
34.961	591731	3.11
34.967	546025	2.87
34.972	497963	2.62
34.977	450799	2.37
34.983	393081	2.07
34.989	343110	1.81
34.994	294413	1.55
35.000	253312	1.33
35.005	220476	1.16
35.011	183699	0.97
35.016	155825	0.82
35.022	135544	0.71
35.027	116131	0.61
35.032	105370	0.55
35.038	90705	0.48
35.044	84662	0.45
35.049	78806	0.41
35.055	77543	0.41
35.060	75216	0.40
35.066	74660	0.39
35.071	73866	0.39
35.077	75483	0.40
35.082	77968	0.41
35.087	78563	0.41
35.093	80341	0.42
35.099	86451	0.46
35.104	90864	0.48
35.110	97201	0.51
35.115	101854	0.54
35.121	106284	0.56
35.126	108661	0.57
35.132	117203	0.62
35.137	119176	0.63
35.142	124457	0.66
35.148	127528	0.67
35.154	130403	0.69
35.159	135551	0.71
35.165	137785	0.73
35.170	140289	0.74
35.176	145926	0.77
35.181	154291	0.81
35.187	163545	0.86
35.192	169963	0.89
35.198	184693	0.97
35.203	197026	1.04
35.209	215496	1.13
35.214	227003	1.19
35.220	245562	1.29
35.225	258876	1.36
35.230	275638	1.45
35.236	280770	1.48
35.242	292489	1.54
35.247	293832	1.55
35.253	305302	1.61
35.258	305089	1.61
35.264	310134	1.63
35.269	313341	1.65
35.275	317837	1.67
35.280	315255	1.66
35.285	317998	1.67
35.291	325790	1.71
35.297	326586	1.72
35.302	330982	1.74
35.308	336249	1.77
35.313	340426	1.79
35.319	342870	1.80
35.324	349513	1.84
35.330	345986	1.82
35.335	348047	1.83
35.340	352142	1.85
35.346	352173	1.85
35.352	361088	1.90
35.357	364818	1.92
35.363	373924	1.97
35.368	385003	2.03
35.374	410741	2.16
35.379	430007	2.26
35.385	468719	2.47
35.390	504620	2.66
35.395	552876	2.91
35.401	606974	3.19
35.407	666008	3.51
35.412	719772	3.79
35.418	775147	4.08
35.423	835191	4.40
35.429	886589	4.67
35.434	926590	4.88
35.440	965258	5.08
35.445	982363	5.17
35.451	971043	5.11
35.456	955657	5.03
35.462	946846	4.98
35.467	885740	4.66
35.473	833104	4.38
35.478	767223	4.04
35.483	698768	3.68
35.489	631650	3.32
35.495	567414	2.99
35.500	498470	2.62
35.506	429338	2.26
35.511	378299	1.99
35.517	327826	1.73
35.522	285290	1.50
35.528	244911	1.29
35.533	215205	1.13
35.538	184819	0.97
35.544	164390	0.87
35.550	147695	0.78
35.555	127123	0.67
35.561	113896	0.60
35.566	103097	0.54
35.572	90711	0.48
35.577	86061	0.45
35.583	76116	0.40
35.588	69195	0.36
35.593	65448	0.34
35.599	60181	0.32
35.605	57171	0.30
35.610	56195	0.30
35.616	57163	0.30
35.621	56258	0.30
35.627	60895	0.32
35.632	71587	0.38
35.638	82858	0.44
35.643	100439	0.53
35.648	125349	0.66
35.654	168253	0.89
35.660	209175	1.10
35.665	262010	1.38
35.671	344801	1.81
35.676	440706	2.32
35.682	548939	2.89
35.687	696961	3.67
35.693	855779	4.50
35.698	1044991	5.50
35.703	1251231	6.59
35.709	1494228	7.86
35.715	1762813	9.28
35.720	2033178	10.70
35.726	2328141	12.25
35.731	2657701	13.99
35.736	3009114	15.84
35.742	3326976	17.51
35.748	3620727	19.06
35.753	3932577	20.70
35.759	4275169	22.50
35.764	4572034	24.06
35.770	4825657	25.40
35.775	5073718	26.70
35.781	5272144	27.75
35.786	5418973	28.52
35.791	5482341	28.86
35.797	5542224	29.17
35.803	5583409	29.39
35.808	5583651	29.39
35.814	5523702	29.07
35.819	5610760	29.53
35.825	5610484	29.53
35.830	5611653	29.54
35.836	5704855	30.03
35.841	5785490	30.45
35.846	5963134	31.39
35.852	6183505	32.55
35.858	6380392	33.58
35.863	6719407	35.37
35.869	6982745	36.75
35.874	7375195	38.82
35.880	7757638	40.83
35.885	8011342	42.17
35.891	8302387	43.70
35.896	8445788	44.45
35.901	8505541	44.77
35.907	8526104	44.88
35.913	8276282	43.56
35.918	7805384	41.08
35.924	7263705	38.23
35.929	6486048	34.14
35.935	5607557	29.51
35.940	4678392	24.62
35.946	3743449	19.70
35.951	2938332	15.47
35.956	2244416	11.81
35.962	1694799	8.92
35.968	1259800	6.63
35.973	953879	5.02
35.979	723570	3.81
35.984	567269	2.99
35.990	459195	2.42
35.995	382735	2.01
36.001	327290	1.72
36.006	287926	1.52
36.012	259522	1.37
36.017	235598	1.24
36.023	218422	1.15
36.028	196124	1.03
36.034	183145	0.96
36.039	168044	0.88
36.044	159086	0.84
36.050	148601	0.78
36.056	135231	0.71
36.061	127183	0.67
36.067	116586	0.61
36.072	110265	0.58
36.078	101074	0.53
36.083	92368	0.49
36.089	87150	0.46
36.094	79798	0.42
36.099	74666	0.39
36.105	67974	0.36
36.111	67889	0.36
36.116	62878	0.33
36.122	60488	0.32
36.127	60581	0.32
36.133	58516	0.31
36.138	60770	0.32
36.144	59095	0.31
36.149	58170	0.31
36.154	58057	0.31
36.160	56705	0.30
36.166	59085	0.31
36.171	59184	0.31
36.177	56696	0.30
36.182	54387	0.29
36.188	54961	0.29
36.193	51796	0.27
36.199	51259	0.27
36.204	47442	0.25
36.209	42733	0.22
36.215	41285	0.22
36.221	38069	0.20
36.226	32593	0.17
36.232	32026	0.17
36.237	27192	0.14
36.243	27574	0.15
36.248	26249	0.14
36.254	23685	0.12
36.259	24613	0.13
36.265	22424	0.12
36.270	23430	0.12
36.276	23795	0.13
36.281	25408	0.13
36.287	22374	0.12
36.292	23373	0.12
36.297	23288	0.12
36.303	27645	0.15
36.309	26971	0.14
36.314	31012	0.16
36.320	30580	0.16
36.325	32856	0.17
36.331	32377	0.17
36.336	32871	0.17
36.342	35055	0.18
36.347	33789	0.18
36.352	34355	0.18
36.358	35214	0.19
36.364	29918	0.16
36.369	30899	0.16
36.375	31099	0.16
36.380	30941	0.16
36.386	26958	0.14
36.391	23895	0.13
36.397	23663	0.12
36.402	19366	0.10
36.407	19117	0.10
36.413	13877	0.07
36.419	15390	0.08
36.424	13258	0.07
36.430	13058	0.07
36.435	12611	0.07
36.441	12702	0.07
36.446	11886	0.06
36.452	11198	0.06
36.457	11203	0.06
36.462	11399	0.06
36.468	11521	0.06
36.474	10473	0.06
36.479	11368	0.06
36.485	11036	0.06
36.490	11589	0.06
36.496	12339	0.06
36.501	12872	0.07
36.507	15079	0.08
36.512	16027	0.08
36.517	21743	0.11
36.523	29985	0.16
36.529	37437	0.20
36.534	50632	0.27
36.540	65538	0.34
36.545	83448	0.44
36.551	111189	0.59
36.556	140673	0.74
36.562	176363	0.93
36.567	220292	1.16
36.573	270415	1.42
36.578	335859	1.77
36.584	405406	2.13
36.589	483914	2.55
36.595	572765	3.01
36.600	657783	3.46
36.605	756555	3.98
36.611	844514	4.44
36.617	940074	4.95
36.622	1021311	5.38
36.628	1097374	5.78
36.633	1168566	6.15
36.639	1233077	6.49
36.644	1290137	6.79
36.650	1320498	6.95
36.655	1376910	7.25
36.660	1413928	7.44
36.666	1458336	7.68
36.672	1506578	7.93
36.677	1564873	8.24
36.683	1630179	8.58
36.688	1761701	9.27
36.694	1907654	10.04
36.699	2058855	10.84
36.705	2272605	11.96
36.710	2501430	13.17
36.715	2791376	14.69
36.721	3108179	16.36
36.727	3504553	18.45
36.732	3917595	20.62
36.738	4363791	22.97
36.743	4859086	25.57
36.749	5339070	28.10
36.754	5825701	30.66
36.760	6290148	33.11
36.765	6790193	35.74
36.770	7248978	38.15
36.776	7588724	39.94
36.782	7909329	41.63
36.787	8130977	42.80
36.793	8195335	43.13
36.798	8136189	42.82
36.804	7950475	41.85
36.809	7579276	39.89
36.815	7060882	37.16
36.820	6474536	34.08
36.826	5671717	29.85
36.831	4752845	25.02
36.837	3867318	20.35
36.842	3064052	16.13
36.848	2329059	12.26
36.853	1763100	9.28
36.858	1322876	6.96
36.864	975987	5.14
36.870	742104	3.91
36.875	577630	3.04
36.881	456308	2.40
36.886	369241	1.94
36.892	300338	1.58
36.897	264545	1.39
36.903	232809	1.23
36.908	208722	1.10
36.913	187920	0.99
36.919	171056	0.90
36.925	159611	0.84
36.930	147919	0.78
36.936	137646	0.72
36.941	132074	0.70
36.947	123988	0.65
36.952	113653	0.60
36.958	111827	0.59
36.963	105859	0.56
36.968	97156	0.51
36.974	95540	0.50
36.980	88959	0.47
36.985	86304	0.45
36.991	80708	0.42
36.996	79587	0.42
37.002	75068	0.40
37.007	72811	0.38
37.013	74010	0.39
37.018	70391	0.37
37.023	70222	0.37
37.029	66449	0.35
37.035	64372	0.34
37.040	61719	0.32
37.046	60317	0.32
37.051	58205	0.31
37.057	58266	0.31
37.062	55300	0.29
37.068	56118	0.30
37.073	51119	0.27
37.078	50526	0.27
37.084	51036	0.27
37.090	52418	0.28
37.095	52454	0.28
37.101	52470	0.28
37.106	50820	0.27
37.111	49780	0.26
37.117	49852	0.26
37.123	48367	0.25
37.128	48419	0.25
37.134	45855	0.24
37.139	43118	0.23
37.145	39007	0.21
37.150	41271	0.22
37.156	39063	0.21
37.161	34769	0.18
37.166	31181	0.16
37.172	30647	0.16
37.178	29486	0.16
37.183	26564	0.14
37.189	27054	0.14
37.194	25984	0.14
37.200	24540	0.13
37.205	25042	0.13
37.211	23779	0.13
37.216	23995	0.13
37.221	24489	0.13
37.227	29275	0.15
37.233	27627	0.15
37.238	32191	0.17
37.244	34760	0.18
37.249	35728	0.19
37.255	40890	0.22
37.260	45508	0.24
37.266	51867	0.27
37.271	56219	0.30
37.276	62489	0.33
37.282	65527	0.34
37.288	72702	0.38
37.293	80095	0.42
37.299	86161	0.45
37.304	91226	0.48
37.310	94722	0.50
37.315	95430	0.50
37.321	99751	0.53
37.326	102739	0.54
37.331	101093	0.53
37.337	98230	0.52
37.343	96521	0.51
37.348	92449	0.49
37.354	88598	0.47
37.359	83312	0.44
37.365	79937	0.42
37.370	72463	0.38
37.376	68779	0.36
37.381	64081	0.34
37.387	59526	0.31
37.392	56375	0.30
37.398	53425	0.28
37.403	49846	0.26
37.409	48812	0.26
37.414	46750	0.25
37.419	45097	0.24
37.425	40928	0.22
37.431	41731	0.22
37.436	37627	0.20
37.442	35793	0.19
37.447	36413	0.19
37.453	31861	0.17
37.458	31756	0.17
37.464	26951	0.14
37.469	27492	0.14
37.474	22824	0.12
37.480	21739	0.11
37.486	21373	0.11
37.491	20588	0.11
37.497	20611	0.11
37.502	17718	0.09
37.508	16613	0.09
37.513	15850	0.08
37.519	17362	0.09
37.524	15116	0.08
37.529	15322	0.08
37.535	14323	0.08
37.541	13824	0.07
37.546	13197	0.07
37.552	13962	0.07
37.557	13731	0.07
37.563	13433	0.07
37.568	15166	0.08
37.574	15727	0.08
37.579	16314	0.09
37.584	18623	0.10
37.590	19711	0.10
37.596	21771	0.11
37.601	24893	0.13
37.607	26413	0.14
37.612	28842	0.15
37.618	32395	0.17
37.623	36991	0.19
37.629	36462	0.19
37.634	39686	0.21
37.640	41394	0.22
37.645	42128	0.22
37.651	45042	0.24
37.656	45910	0.24
37.662	46329	0.24
37.667	45465	0.24
37.672	45869	0.24
37.678	45980	0.24
37.684	46120	0.24
37.689	49357	0.26
37.695	49118	0.26
37.700	50954	0.27
37.706	54649	0.29
37.711	58377	0.31
37.717	62839	0.33
37.722	70630	0.37
37.727	75701	0.40
37.733	82916	0.44
37.739	92041	0.48
37.744	98644	0.52
37.750	108909	0.57
37.755	115767	0.61
37.761	126172	0.66
37.766	131569	0.69
37.772	136951	0.72
37.777	138099	0.73
37.782	144303	0.76
37.788	143434	0.75
37.794	140824	0.74
37.799	134666	0.71
37.805	129985	0.68
37.810	123710	0.65
37.816	116274	0.61
37.821	106109	0.56
37.827	97147	0.51
37.832	87138	0.46
37.837	79057	0.42
37.843	70988	0.37
37.849	64081	0.34
37.854	56405	0.30
37.860	54236	0.29
37.865	48083	0.25
37.871	42483	0.22
37.876	42537	0.22
37.882	37412	0.20
37.887	34610	0.18
37.892	33906	0.18
37.898	28840	0.15
37.904	30142	0.16
37.909	26159	0.14
37.915	24852	0.13
37.920	22930	0.12
37.926	23331	0.12
37.931	20786	0.11
37.937	19591	0.10
37.942	17402	0.09
37.948	16923	0.09
37.953	16438	0.09
37.959	15721	0.08
37.964	14189	0.07
37.970	14034	0.07
37.975	12785	0.07
37.980	12303	0.06
37.986	12993	0.07
37.992	12417	0.07
37.997	11082	0.06
38.003	12425	0.07
38.008	12981	0.07
38.014	12171	0.06
38.019	13378	0.07
38.025	13975	0.07
38.030	13624	0.07
38.035	15723	0.08
38.041	16754	0.09
38.047	17545	0.09
38.052	17057	0.09
38.058	15907	0.08
38.063	19299	0.10
38.069	19921	0.10
38.074	18148	0.10
38.080	19941	0.10
38.085	20432	0.11
38.090	20082	0.11
38.096	20487	0.11
38.102	17912	0.09
38.107	17182	0.09
38.113	19228	0.10
38.118	19633	0.10
38.124	21292	0.11
38.129	21568	0.11
38.135	19477	0.10
38.140	22179	0.12
38.145	23861	0.13
38.151	27115	0.14
38.157	27446	0.14
38.162	27458	0.14
38.168	29286	0.15
38.173	30716	0.16
38.179	31945	0.17
38.184	32010	0.17
38.190	34309	0.18
38.195	33403	0.18
38.201	33845	0.18
38.206	33330	0.18
38.212	31076	0.16
38.217	29144	0.15
38.223	27699	0.15
38.228	24747	0.13
38.233	25714	0.14
38.239	22629	0.12
38.245	17324	0.09
38.250	17849	0.09
38.256	15866	0.08
38.261	16520	0.09
38.267	12692	0.07
38.272	12699	0.07
38.278	8882	0.05
38.283	9444	0.05
38.288	6244	0.03
38.294	7347	0.04
38.300	6257	0.03
38.305	6592	0.03
38.311	6331	0.03
38.316	5163	0.03
38.322	5369	0.03
38.327	4797	0.03
38.333	5237	0.03
38.338	5253	0.03
38.343	4752	0.03
38.349	4749	0.02
38.355	5986	0.03
38.360	4840	0.03
38.366	4810	0.03
38.371	5011	0.03
38.377	5089	0.03
38.382	4648	0.02
38.388	5519	0.03
38.393	5318	0.03
38.398	5122	0.03
38.404	5371	0.03
38.410	5013	0.03
38.415	4919	0.03
38.421	5328	0.03
38.426	5807	0.03
38.432	4878	0.03
38.437	4996	0.03
38.443	5093	0.03
38.448	6083	0.03
38.454	6359	0.03
38.459	6571	0.03
38.465	8793	0.05
38.470	9158	0.05
38.476	10033	0.05
38.481	12513	0.07
38.486	14675	0.08
38.492	17332	0.09
38.498	19641	0.10
38.503	23496	0.12
38.509	25256	0.13
38.514	28159	0.15
38.520	32587	0.17
38.525	36116	0.19
38.531	38505	0.20
38.536	41975	0.22
38.541	43929	0.23
38.547	45003	0.24
38.553	47233	0.25
38.558	49942	0.26
38.564	50262	0.26
38.569	50189	0.26
38.575	50323	0.26
38.580	51391	0.27
38.586	49689	0.26
38.591	52551	0.28
38.596	50980	0.27
38.602	51965	0.27
38.608	53692	0.28
38.613	55002	0.29
38.619	53435	0.28
38.624	58190	0.31
38.630	61558	0.32
38.635	64204	0.34
38.641	69345	0.36
38.646	74661	0.39
38.651	78869	0.42
38.657	86602	0.46
38.663	95715	0.50
38.668	102853	0.54
38.674	110946	0.58
38.679	117869	0.62
38.685	130391	0.69
38.690	136128	0.72
38.696	148472	0.78
38.701	152055	0.80
38.706	164045	0.86
38.712	164235	0.86
38.718	170687	0.90
38.723	169541	0.89
38.729	174016	0.92
38.734	171883	0.90
38.740	166561	0.88
38.745	162107	0.85
38.751	153861	0.81
38.756	149257	0.79
38.762	140506	0.74
38.767	131953	0.69
38.773	119456	0.63
38.778	111148	0.59
38.784	103029	0.54
38.789	95612	0.50
38.794	85032	0.45
38.800	76747	0.40
38.806	66539	0.35
38.811	61375	0.32
38.817	55818	0.29
38.822	50306	0.26
38.828	44594	0.23
38.833	45567	0.24
38.839	44369	0.23
38.844	40605	0.21
38.849	41940	0.22
38.855	42534	0.22
38.861	45000	0.24
38.866	48743	0.26
38.872	50559	0.27
38.877	55203	0.29
38.883	59381	0.31
38.888	63071	0.33
38.894	67614	0.36
38.899	71247	0.37
38.904	74048	0.39
38.910	73995	0.39
38.916	76119	0.40
38.921	77424	0.41
38.927	73901	0.39
38.932	73512	0.39
38.938	70988	0.37
38.943	69321	0.36
38.949	64212	0.34
38.954	59163	0.31
38.959	57599	0.30
38.965	50478	0.27
38.971	46765	0.25
38.976	41586	0.22
38.982	37626	0.20
38.987	32733	0.17
38.993	28093	0.15
38.998	27355	0.14
39.004	22712	0.12
39.009	22632	0.12
39.015	21553	0.11
39.020	24418	0.13
39.026	24967	0.13
39.031	25702	0.14
39.037	30131	0.16
39.042	34121	0.18
39.047	37078	0.20
39.053	46242	0.24
39.059	50987	0.27
39.064	60321	0.32
39.070	71685	0.38
39.075	83466	0.44
39.081	92409	0.49
39.086	103752	0.55
39.092	116517	0.61
39.097	127046	0.67
39.102	139592	0.73
39.108	146042	0.77
39.114	150479	0.79
39.119	154025	0.81
39.125	157059	0.83
39.130	156399	0.82
39.136	153572	0.81
39.141	151341	0.80
39.147	142242	0.75
39.152	133827	0.70
39.157	124744	0.66
39.163	113756	0.60
39.169	105104	0.55
39.174	94909	0.50
39.180	83248	0.44
39.185	72966	0.38
39.191	64305	0.34
39.196	56307	0.30
39.202	46668	0.25
39.207	41069	0.22
39.212	36133	0.19
39.218	31128	0.16
39.224	26536	0.14
39.229	25449	0.13
39.235	21720	0.11
39.240	19917	0.10
39.246	17621	0.09
39.251	17038	0.09
39.257	16505	0.09
39.262	16929	0.09
39.268	16769	0.09
39.273	17065	0.09
39.279	16686	0.09
39.284	18177	0.10
39.290	18943	0.10
39.295	20806	0.11
39.301	19397	0.10
39.306	21482	0.11
39.312	19912	0.10
39.317	20639	0.11
39.323	20507	0.11
39.328	19172	0.10
39.334	20434	0.11
39.339	19510	0.10
39.345	19046	0.10
39.350	19594	0.10
39.355	19009	0.10
39.361	18258	0.10
39.367	20920	0.11
39.372	23893	0.13
39.378	26051	0.14
39.383	28188	0.15
39.389	32899	0.17
39.394	35884	0.19
39.400	42628	0.22
39.405	45669	0.24
39.410	52848	0.28
39.416	54823	0.29
39.422	62270	0.33
39.427	68932	0.36
39.433	71502	0.38
39.438	76791	0.40
39.444	74829	0.39
39.449	79755	0.42
39.455	77676	0.41
39.460	77974	0.41
39.465	79518	0.42
39.471	76291	0.40
39.477	69223	0.36
39.482	65158	0.34
39.488	59337	0.31
39.493	53514	0.28
39.499	50210	0.26
39.504	43650	0.23
39.510	38698	0.20
39.515	35891	0.19
39.520	30466	0.16
39.526	29020	0.15
39.532	23954	0.13
39.537	19981	0.11
39.543	18747	0.10
39.548	15115	0.08
39.554	13234	0.07
39.559	12662	0.07
39.565	12311	0.06
39.570	12291	0.06
39.576	11636	0.06
39.581	11486	0.06
39.587	10992	0.06
39.592	11800	0.06
39.598	11526	0.06
39.603	11350	0.06
39.608	12529	0.07
39.614	12867	0.07
39.620	13875	0.07
39.625	15431	0.08
39.631	15774	0.08
39.636	17069	0.09
39.642	21294	0.11
39.647	22454	0.12
39.653	20797	0.11
39.658	23058	0.12
39.663	21680	0.11
39.669	25162	0.13
39.675	23549	0.12
39.680	24004	0.13
39.686	20853	0.11
39.691	21960	0.12
39.697	21959	0.12
39.702	19959	0.11
39.708	22957	0.12
39.713	21386	0.11
39.718	19326	0.10
