#Tc	1000/T\dC\n (1/K)	Overall (ms)	First Stage (ms)
910.20	1.0987	20.36141    ?
871.30	1.1477	41.86839    ?
833.50	1.1998	50.01732    ?
817.50	1.2232	44.11142    ?
791.20	1.2639	34.33895    2.326730
775.20	1.2900	25.58812    2.201750
756.60	1.3217	17.41945    2.735030
737.80	1.3554	13.11411    4.201920
722.10	1.3848	12.43892    6.408710
706.80	1.4148	14.67266    10.50712
696.80	1.4351	18.36002    15.00000
682.50	1.4652	29.91640    27.34634
