#T\dC\n (K)	1000/T\dC\n (1/K)	First Stage (ms)	Overall (ms)
681.00	1.4684	51.850	53.300
694.00	1.4409	27.500	29.200
707.00	1.4144	18.900	21.300
737.00	1.3569	7.2500	12.650
754.00	1.3263	5.6000	16.450
771.00	1.2970	5.4500	20.150
773.00	1.2937	6.5000	26.050
791.00	1.2642	8.0000	27.300
794.00	1.2594	9.0000	31.550
815.00	1.2270	?   	39.200
815.00	1.2270	?   	39.700
817.00	1.2240	?   	39.100
843.00	1.1862	?   	46.450
843.00	1.1862	?   	44.550
869.00	1.1507	?   	35.850
899.00	1.1123	?   	22.150
