#T\dC\n	1000/T\dC\n (1/K)	First Stage (ms)	Overall (ms)
682.00	1.4663	36.850	37.900
694.00	1.4409	23.150	24.700
708.00	1.4124	14.650	16.400
740.00	1.3514	7.0000	11.700
741.00	1.3495	7.0500	11.500
758.00	1.3193	5.3000	13.350
779.00	1.2837	6.4000	21.200
796.00	1.2563	nan   	28.250
801.00	1.2484	nan   	27.200
822.00	1.2165	nan   	33.650
849.00	1.1779	nan   	25.850
876.00	1.1416	nan   	14.550
903.00	1.1074	nan   	7.1000
