#Time,"P(t), Reactive, bar","P'(t), Reactive, bar/ms","P(t), Non-Reactive, bar"
-28.9200000,3.2331000,-0.1914300,3.2788000
-28.9100000,3.2347000,-0.0957160,3.2804000
-28.9000000,3.2347000,-0.1116700,3.2820000
-28.8900000,3.2315000,-0.1116700,3.2852000
-28.8800000,3.2331000,0.0000005,3.2900000
-28.8700000,3.2283000,0.0797650,3.2932000
-28.8600000,3.2315000,0.1276200,3.2916000
-28.8500000,3.2363000,0.2073900,3.2916000
-28.8400000,3.2363000,0.0478580,3.2884000
-28.8300000,3.2395000,-0.2392900,3.2852000
-28.8200000,3.2347000,-0.0957150,3.2852000
-28.8100000,3.2299000,-0.1116700,3.2836000
-28.8000000,3.2267000,-0.1435700,3.2820000
-28.7900000,3.2315000,0.0797630,3.2836000
-28.7800000,3.2347000,0.1914300,3.2900000
-28.7700000,3.2315000,0.0478580,3.2884000
-28.7600000,3.2347000,-0.1595300,3.2836000
-28.7500000,3.2331000,0.0797640,3.2868000
-28.7400000,3.2315000,-0.0478560,3.2868000
-28.7300000,3.2299000,-0.1595300,3.2852000
-28.7200000,3.2331000,-0.0159510,3.2884000
-28.7100000,3.2315000,0.1116700,3.2884000
-28.7000000,3.2283000,0.1435700,3.2868000
-28.6900000,3.2331000,0.2392900,3.2836000
-28.6800000,3.2363000,0.1435700,3.2804000
-28.6700000,3.2411000,0.0319040,3.2788000
-28.6600000,3.2411000,-0.0478580,3.2804000
-28.6500000,3.2331000,-0.1276200,3.2836000
-28.6400000,3.2331000,-0.1435700,3.2852000
-28.6300000,3.2331000,0.2073900,3.2836000
-28.6200000,3.2363000,0.1914300,3.2804000
-28.6100000,3.2395000,0.1116700,3.2836000
-28.6000000,3.2427000,0.1276200,3.2852000
-28.5900000,3.2411000,-0.0638090,3.2820000
-28.5800000,3.2379000,-0.1276200,3.2804000
-28.5700000,3.2395000,-0.0159520,3.2772000
-28.5600000,3.2363000,0.2392900,3.2772000
-28.5500000,3.2395000,0.1595300,3.2772000
-28.5400000,3.2443000,0.2552400,3.2756000
-28.5300000,3.2491000,0.3190500,3.2725000
-28.5200000,3.2491000,0.2073900,3.2725000
-28.5100000,3.2491000,-0.0159510,3.2725000
-28.5000000,3.2523000,-0.0797610,3.2740000
-28.4900000,3.2507000,-0.0797620,3.2740000
-28.4800000,3.2475000,0.0478600,3.2756000
-28.4700000,3.2459000,0.0638120,3.2740000
-28.4600000,3.2475000,0.1435700,3.2725000
-28.4500000,3.2554000,0.1914300,3.2677000
-28.4400000,3.2554000,0.2233400,3.2645000
-28.4300000,3.2554000,0.0957160,3.2693000
-28.4200000,3.2554000,0.1914300,3.2709000
