,690K,,728K,,759K,,854K,,866K,,899K
-28,4.3787,-28,3.6995,-28,3.2457,-26,2.2211,-26,2.1269,-27,1.8794
-27.9,4.3835,-27.894,3.6978,-27.896,3.2437,-25.901,2.229,-25.9,2.1301,-26.903,1.8886
-27.8,4.3947,-27.798,3.6975,-27.8,3.2329,-25.803,2.2275,-25.8,2.1349,-26.792,1.8924
-27.7,4.393,-27.68,3.685,-27.7,3.2363,-25.785,2.2249,-25.7,2.1317,-26.6,1.8985
-27.6,4.3774,-27.564,3.6951,-27.6,3.2521,-25.696,2.2101,-25.6,2.1143,-26.5,1.8906
-27.5,4.3707,-27.5,3.7043,-27.5,3.2553,-25.507,2.2293,-25.515,2.1088,-26.5,1.8906
-27.45,4.3803,-27.4,3.7043,-27.5,3.2553,-25.5,2.2307,-25.5,2.1079,-26.4,1.881
-27.389,4.3909,-27.3,3.695,-27.401,3.2365,-25.4,2.2243,-25.396,2.1067,-26.3,1.8922
-27.294,4.3987,-27.2,3.6961,-27.322,3.2313,-25.3,2.2386,-25.299,2.1157,-26.201,1.9064
-27.2,4.3883,-27.1,3.6916,-27.296,3.231,-25.201,2.2575,-25.2,2.1349,-26.118,1.9091
-27.1,4.3835,-27,3.6961,-27.2,3.2553,-25.183,2.255,-25.126,2.1325,-26.009,1.9097
-27,4.3754,-27,3.6961,-27.1,3.2664,-25.099,2.2418,-25.074,2.1296,-26,1.9097
-26.9,4.3774,-26.9,3.7107,-27.006,3.2575,-25,2.2339,-25,2.1237,-25.723,1.9053
-26.8,4.3947,-26.8,3.7027,-27,3.2569,-24.9,2.2418,-24.9,2.1188,-25.685,1.904
-26.602,4.3947,-26.7,3.69,-26.9,3.2442,-24.8,2.2466,-24.8,2.1237,-25.599,1.8984
-26.5,4.3995,-26.6,3.6837,-26.8,3.2329,-24.7,2.2419,-24.708,2.134,-25.5,1.8777
-26.4,4.3995,-26.5,3.6837,-26.699,3.2379,-24.602,2.234,-24.6,2.1413,-25.4,1.8666
-26.3,4.3947,-26.4,3.69,-26.6,3.2457,-24.574,2.2364,-24.501,2.1397,-25.306,1.8846
-26.2,4.3787,-26.3,3.7043,-26.5,3.2408,-24.5,2.2434,-24.5,2.1397,-25.244,1.8956
-26.1,4.3835,-26.182,3.7053,-26.4,3.2393,-24.4,2.2419,-24.4,2.1333,-25.199,1.9033
-26.037,4.3986,-26.088,3.7039,-26.296,3.254,-24.3,2.2323,-24.3,2.1365,-25.098,1.9017
-25.908,4.4103,-26,3.7123,-26.2,3.2616,-24.202,2.2354,-24.2,2.1381,-25,1.8985
-25.801,4.4106,-25.9,3.717,-26.004,3.2475,-24.104,2.2324,-24.098,2.1462,-24.9,1.8922
-25.719,4.4209,-25.8,3.7091,-26,3.2473,-24.002,2.2338,-24,2.1525,-24.8,1.8938
-25.618,4.4273,-25.7,3.7043,-25.802,3.2443,-24,2.2339,-23.9,2.154,-24.7,1.9049
-25.6,4.4282,-25.6,3.7155,-25.7,3.2489,-23.8,2.2307,-23.803,2.1463,-24.6,1.9145
-25.498,4.4266,-25.5,3.7314,-25.6,3.2473,-23.78,2.2341,-23.762,2.1473,-24.5,1.9034
-25.353,4.4303,-25.5,3.7314,-25.5,3.2473,-23.632,2.2602,-23.698,2.1496,-24.5,1.9033
-25.203,4.4392,-25.397,3.7247,-25.385,3.2542,-23.597,2.2657,-23.6,2.1652,-24.402,1.8847
-25.101,4.4378,-25.299,3.7123,-25.2,3.2537,-23.5,2.2626,-23.501,2.1573,-24.362,1.8878
-25.006,4.4468,-25.2,3.7186,-25.1,3.2537,-23.324,2.2598,-23.5,2.1572,-24.295,1.8945
-24.898,4.4554,-25.1,3.7171,-25,3.268,-23.209,2.2623,-23.4,2.1604,-24.2,1.9081
-24.8,4.4585,-25,3.7171,-24.9,3.2808,-23.183,2.2623,-23.304,2.1865,-24.1,1.9129
-24.7,4.4697,-24.9,3.7314,-24.8,3.2824,-23.04,2.2591,-23.2,2.1923,-24,1.9097
-24.6,4.4904,-24.8,3.733,-24.7,3.276,-23,2.2578,-23.1,2.1732,-23.898,1.9019
-24.5,4.4904,-24.7,3.7395,-24.6,3.268,-22.902,2.2672,-23.004,2.1793,-23.799,1.9082
-24.393,4.4991,-24.598,3.7537,-24.5,3.2632,-22.802,2.2674,-23,2.1796,-23.7,1.9129
-24.296,4.5076,-24.5,3.7522,-24.401,3.279,-22.7,2.269,-22.91,2.1968,-23.6,1.9193
-24.2,4.5016,-24.4,3.7554,-24.3,3.2936,-22.666,2.2739,-22.895,2.1989,-23.5,1.9161
-24.1,4.5191,-24.299,3.7666,-24.201,3.2873,-22.501,2.2896,-22.7,2.2051,-23.5,1.9161
-24,4.5479,-24.199,3.7761,-24.103,3.2887,-22.5,2.2897,-22.599,2.2131,-23.4,1.9081
-23.899,4.5525,-24.1,3.7761,-24,3.2968,-22.4,2.2881,-22.5,2.2115,-23.339,1.913
-23.776,4.5497,-24,3.7729,-23.801,3.3174,-22.285,2.2991,-22.4,2.2115,-23.194,1.9227
-23.639,4.5713,-23.899,3.7747,-23.779,3.3155,-22.196,2.3073,-22.3,2.2259,-23,1.9288
-23.535,4.5844,-23.8,3.792,-23.692,3.3087,-22.076,2.3096,-22.2,2.2259,-23,1.9288
-23.398,4.5991,-23.7,3.8,-23.6,3.3176,-22,2.3121,-22.1,2.2242,-22.904,1.9196
-23.294,4.6126,-23.6,3.8016,-23.5,3.3431,-21.883,2.3233,-22.002,2.2446,-22.882,1.9204
-23.2,4.6276,-23.5,3.808,-23.4,3.3446,-21.775,2.334,-22,2.245,-22.799,1.9258
-23.099,4.6356,-23.4,3.808,-23.3,3.3398,-21.673,2.3449,-21.9,2.2514,-22.658,1.9475
-23,4.6356,-23.302,3.8221,-23.2,3.3494,-21.5,2.3583,-21.8,2.2546,-22.5,1.9592
-22.899,4.6581,-23.203,3.8379,-23.098,3.3609,-21.385,2.3604,-21.7,2.2657,-22.4,1.9544
-22.8,4.6787,-23.1,3.8558,-23,3.3734,-21.294,2.3638,-21.6,2.2641,-22.303,1.9451
-22.7,4.6867,-23,3.8766,-22.9,3.3781,-21.1,2.3854,-21.5,2.261,-22.279,1.9471
