,690K,,729K,,742K,,761K,,777K,,797K,,815K,,840K,,867K,,893K
4,49.622,1.002,49.883,0.17576,49.965,-0.39983,49.871,-0.62058,49.909,-0.86561,49.579,-1.3937,49.083,-1.0995,49.269,-1.189,49.005,-1.5,46.968
4.0424,49.618,1.0371,49.873,0.20029,49.95,-0.39404,49.875,-0.59995,49.916,-0.82953,49.568,-1.3493,49.237,-1.0945,49.279,-1.1459,49.169,-1.4996,46.971
4.1029,49.611,1.1001,49.855,0.20888,49.949,-0.35554,49.9,-0.59775,49.915,-0.80007,49.559,-1.3,49.409,-1.0745,49.319,-1.1,49.344,-1.4958,46.998
4.1756,49.611,1.1145,49.849,0.26694,49.945,-0.29977,49.938,-0.58364,49.912,-0.7999,49.559,-1.2998,49.409,-1.0169,49.435,-1.0997,49.345,-1.4789,47.122
4.217,49.612,1.2,49.818,0.30042,49.942,-0.2929,49.941,-0.52392,49.901,-0.79792,49.562,-1.2969,49.414,-1,49.47,-1.0969,49.351,-1.4239,47.526
4.3002,49.615,1.2024,49.817,0.32069,49.944,-0.23477,49.968,-0.5,49.898,-0.7858,49.579,-1.2816,49.438,-0.99952,49.47,-1.083,49.378,-1.4,47.704
4.3213,49.613,1.2469,49.81,0.40001,49.952,-0.13169,50.019,-0.49949,49.898,-0.74099,49.645,-1.2254,49.529,-0.99478,49.471,-1.0359,49.473,-1.3997,47.705
4.4002,49.604,1.3002,49.802,0.40322,49.952,-0.09981,50.035,-0.49367,49.904,-0.70001,49.707,-1.1999,49.571,-0.97508,49.476,-1,49.545,-1.3968,47.717
4.4255,49.598,1.3149,49.802,0.44333,49.944,-0.09296,50.037,-0.46543,49.935,-0.69934,49.709,-1.1988,49.571,-0.91317,49.493,-0.99957,49.545,-1.3855,47.766
4.501,49.582,1.3997,49.803,0.5,49.933,-0.04012,50.055,-0.40018,50.011,-0.6932,49.725,-1.1911,49.572,-0.89986,49.497,-0.99584,49.545,-1.348,47.927
4.5723,49.564,1.41,49.803,0.50402,49.931,0,50.069,-0.39951,50.012,-0.66874,49.791,-1.1606,49.573,-0.8972,49.5,-0.97967,49.544,-1.3,48.134
4.6019,49.556,1.4738,49.798,0.55242,49.912,0.00165,50.07,-0.39177,50.019,-0.60005,49.981,-1.1,49.579,-0.88079,49.52,-0.93071,49.541,-1.2992,48.137
4.6603,49.55,1.5,49.797,0.60006,49.893,0.02216,50.072,-0.3451,50.065,-0.59991,49.981,-1.0993,49.58,-0.82608,49.589,-0.89994,49.539,-1.291,48.168
4.7095,49.544,1.5011,49.796,0.60279,49.894,0.09976,50.086,-0.29999,50.115,-0.59831,49.983,-1.0919,49.586,-0.79993,49.622,-0.89803,49.54,-1.2577,48.292
4.8019,49.527,1.5211,49.786,0.63401,49.899,0.10719,50.088,-0.29918,50.116,-0.58673,49.996,-1.0608,49.615,-0.7973,49.626,-0.8848,49.549,-1.2,48.51
4.8402,49.521,1.5993,49.749,0.7,49.911,0.17356,50.109,-0.28876,50.124,-0.54838,50.04,-1,49.674,-0.77886,49.655,-0.83835,49.58,-1.1996,48.512
4.9014,49.512,1.602,49.748,0.70472,49.911,0.2579,50.148,-0.24201,50.163,-0.5,50.101,-1,49.674,-0.70508,49.775,-0.79997,49.606,-1.1956,48.533
4.9832,49.503,1.6409,49.736,0.76689,49.918,0.30019,50.173,-0.19999,50.205,-0.49941,50.101,-0.99973,49.674,-0.69994,49.783,-0.79907,49.608,-1.1788,48.621
5,49.502,1.7001,49.719,0.80067,49.922,0.30387,50.174,-0.19916,50.207,-0.49337,50.103,-0.9958,49.682,-0.6985,49.784,-0.79302,49.621,-1.1163,48.949
5.0425,49.495,1.7034,49.719,0.81814,49.921,0.33356,50.181,-0.19067,50.222,-0.46604,50.114,-0.97614,49.723,-0.68722,49.793,-0.76921,49.672,-1.1,49.036
5.1006,49.487,1.7404,49.722,0.89943,49.915,0.40823,50.211,-0.14982,50.3,-0.40007,50.148,-0.90382,49.875,-0.64857,49.824,-0.7005,49.819,-1.0992,49.038
5.1289,49.487,1.8001,49.727,0.90557,49.915,0.48028,50.259,-0.09997,50.407,-0.39966,50.149,-0.89987,49.883,-0.59995,49.864,-0.69967,49.82,-1.0948,49.05
5.2013,49.487,1.8147,49.728,0.96879,49.918,0.5,50.275,-0.09862,50.409,-0.3948,50.155,-0.89699,49.887,-0.59779,49.865,-0.69579,49.823,-1.0781,49.094
5.2488,49.48,1.9002,49.74,1,49.92,0.50117,50.277,-0.08654,50.431,-0.37049,50.187,-0.88097,49.909,-0.58089,49.874,-0.67892,49.836,-1.0181,49.256
5.3026,49.472,1.9076,49.74,1.0029,49.92,0.51219,50.293,-0.03901,50.523,-0.28461,50.315,-0.82416,49.989,-0.5133,49.911,-0.6249,49.878,-1,49.305
5.3914,49.462,1.9776,49.741,1.0326,49.913,0.56484,50.377,0,50.609,-0.2,50.465,-0.79976,50.025,-0.5,49.918,-0.59994,49.897,-0.99988,49.305
5.4124,49.458,2,49.742,1.1,49.901,0.6002,50.442,0.00163,50.612,-0.19901,50.467,-0.7964,50.028,-0.49423,49.922,-0.59816,49.897,-0.99826,49.304
5.5365,49.427,2.0019,49.741,1.1075,49.9,0.61153,50.464,0.01562,50.641,-0.18704,50.493,-0.77121,50.055,-0.43694,49.957,-0.58665,49.897,-0.99047,49.304
5.6016,49.411,2.0309,49.735,1.1868,49.893,0.6757,50.606,0.07449,50.779,-0.1379,50.606,-0.73036,50.1,-0.39952,49.981,-0.54459,49.897,-0.96492,49.304
5.6399,49.409,2.1005,49.721,1.2006,49.892,0.70077,50.67,0.10005,50.847,-0.09977,50.699,-0.70002,50.135,-0.38659,49.99,-0.5,49.897,-0.89999,49.303
5.7009,49.407,2.1185,49.719,1.2119,49.895,0.71799,50.718,0.10238,50.854,-0.08834,50.729,-0.69879,50.136,-0.30756,50.046,-0.4991,49.898,-0.89932,49.304
5.7382,49.401,2.2003,49.71,1.2744,49.914,0.79362,50.96,0.12038,50.911,-0.01427,50.931,-0.68324,50.151,-0.29975,50.051,-0.49063,49.904,-0.89315,49.309
5.8002,49.392,2.2105,49.709,1.4,49.964,0.80059,50.985,0.19377,51.173,0,50.972,-0.61869,50.215,-0.29417,50.054,-0.45951,49.927,-0.86894,49.331
5.8282,49.386,2.2981,49.695,1.4003,49.964,0.81368,51.034,0.20185,51.204,0.00052,50.973,-0.59989,50.235,-0.26262,50.067,-0.34609,50.013,-0.80007,49.393
5.9003,49.371,2.3004,49.695,1.406,49.964,0.86028,51.222,0.22072,51.281,0.00591,50.984,-0.59685,50.237,-0.2,50.095,-0.29987,50.048,-0.79931,49.394
5.9253,49.369,2.3101,49.696,1.4389,49.966,0.89996,51.404,0.28639,51.571,0.0295,51.034,-0.57613,50.252,-0.19859,50.096,-0.29579,50.05,-0.79295,49.405
6,49.363,2.3741,49.703,1.5,49.973,0.90069,51.407,0.30022,51.636,0.09134,51.172,-0.50186,50.311,-0.18193,50.106,-0.2697,50.062,-0.76981,49.445
6.021,49.363,2.5,49.722,1.5024,49.974,0.91143,51.457,0.30602,51.663,0.1,51.192,-0.5,50.313,-0.11269,50.149,-0.2004,50.094,-0.7003,49.567
6.1017,49.364,2.5031,49.723,1.5317,49.983,0.95644,51.685,0.33905,51.82,0.10055,51.193,-0.49871,50.314,-0.09969,50.157,-0.19943,50.095,-0.69969,49.568
6.1585,49.366,2.5387,49.723,1.5999,50.012,0.99959,51.93,0.40001,52.128,0.10842,51.209,-0.48533,50.328,-0.09122,50.163,-0.19149,50.101,-0.69555,49.573
6.2008,49.367,2.6001,49.727,1.601,50.013,1,51.932,0.40099,52.133,0.1404,51.273,-0.426,50.392,-0.03842,50.203,-0.15463,50.13,-0.67727,49.593
6.2296,49.364,2.6066,49.728,1.6111,50.024,1.0065,51.971,0.41007,52.176,0.2,51.397,-0.39972,50.421,0,50.232,-0.1,50.173,-0.60291,49.678
6.3019,49.356,2.6729,49.739,1.657,50.076,1.0581,52.301,0.44851,52.366,0.20104,51.4,-0.39547,50.429,0.0003,50.232,-0.09924,50.173,-0.59959,49.681
6.3535,49.345,2.7002,49.745,1.7001,50.131,1.1457,52.941,0.49994,52.63,0.2128,51.428,-0.37229,50.469,0.00401,50.231,-0.09118,50.175,-0.59531,49.682
6.5,49.313,2.7068,49.745,1.7087,50.142,1.1961,53.35,0.5,52.63,0.26209,51.547,-0.30017,50.596,0.02201,50.226,-0.05991,50.183,-0.57843,49.684
6.5117,49.312,2.7591,49.746,1.7771,50.239,1.2002,53.384,0.50105,52.636,0.30007,51.64,-0.29986,50.597,0.08465,50.209,0,50.198,-0.51436,49.692
6.6,49.302,2.8002,49.749,1.8002,50.276,1.2044,53.42,0.51258,52.699,0.3025,51.647,-0.29667,50.601,0.10137,50.205,0.00212,50.197,-0.5,49.694
6.6079,49.302,2.8184,49.751,1.8036,50.28,1.2305,53.65,0.5587,52.954,0.3213,51.699,-0.27598,50.63,0.12375,50.2,0.01722,50.197,-0.49832,49.695
6.7001,49.299,2.9,49.765,1.8265,50.308,1.2993,54.283,0.60001,53.185,0.39137,51.893,-0.20616,50.728,0.1998,50.185,0.07466,50.194,-0.48155,49.701
6.7117,49.296,2.9012,49.766,1.8997,50.412,1.3003,54.292,0.60078,53.189,0.40083,51.919,-0.19988,50.737,0.20033,50.185,0.10044,50.192,-0.40103,49.728
6.8,49.277,2.9178,49.774,1.9006,50.414,1.3056,54.341,0.60833,53.235,0.42013,51.97,-0.19699,50.739,0.20495,50.187,0.1072,50.191,-0.3998,49.729
6.8132,49.276,2.9892,49.813,1.9136,50.437,1.3348,54.614,0.64186,53.434,0.49106,52.156,-0.17915,50.756,0.22736,50.195,0.14208,50.181,-0.39635,49.731
6.8999,49.266,3,49.82,1.9553,50.517,1.3996,55.223,0.72494,53.91,0.5,52.178,-0.11051,50.822,0.29821,50.222,0.28388,50.141,-0.37827,49.745
6.9049,49.266,3.0056,49.824,1.9982,50.61,1.4047,55.27,0.79351,54.265,0.50076,52.18,-0.09985,50.832,0.30493,50.224,0.30063,50.136,-0.30226,49.802
6.9971,49.267,3.0574,49.864,2,50.615,1.4444,55.624,0.80061,54.299,0.50933,52.198,-0.09588,50.837,0.34433,50.237,0.30835,50.137,-0.29729,49.806
7,49.267,3.1004,49.899,2.0024,50.62,1.4999,56.076,0.81175,54.351,0.54469,52.272,-0.07367,50.866,0.40007,50.255,0.3407,50.14,-0.28206,49.818
7.004,49.266,3.1174,49.914,2.0313,50.694,1.5,56.077,0.86566,54.579,0.64936,52.472,-0.00039,50.961,0.40172,50.254,0.40012,50.146,-0.21129,49.877
7.069,49.254,3.1463,49.939,2.0999,50.895,1.5022,56.094,0.90002,54.707,0.70003,52.556,0,50.962,0.41447,50.25,0.4032,50.145,-0.19952,49.886
7.2,49.231,3.1746,49.965,2.1029,50.904,1.5247,56.257,0.90195,54.713,0.70183,52.56,0.00433,50.968,0.46376,50.235,0.42338,50.141,-0.19318,49.89
7.2085,49.231,3.2,49.989,2.1383,51.024,1.5617,56.495,0.91627,54.759,0.7165,52.587,0.04432,51.022,0.5,50.225,0.4978,50.126,-0.16124,49.909
7.2992,49.227,3.2019,49.99,2.2074,51.299,1.5911,56.657,0.97449,54.922,0.77245,52.686,0.1,51.097,0.60001,50.195,0.5,50.126,-0.0998,49.945
7.3253,49.228,3.221,50.005,2.2522,51.51,1.601,56.706,1,54.983,0.80028,52.731,0.10039,51.098,0.60103,50.195,0.50244,50.125,-0.09578,49.946
7.4001,49.231,3.2991,50.071,2.2816,51.664,1.6152,56.774,1.0045,54.993,0.8067,52.742,0.10599,51.102,0.61172,50.197,0.52042,50.117,-0.0709,49.955
7.4201,49.231,3.3016,50.073,2.3045,51.795,1.6677,56.983,1.0339,55.051,0.83963,52.797,0.13215,51.121,0.65445,50.201,0.59235,50.086,0,49.98
7.5,49.228,3.3219,50.09,2.3524,52.098,1.7001,57.086,1.1,55.16,0.90004,52.89,0.19798,51.169,0.7001,50.206,0.60053,50.082,0,49.98
7.5036,49.227,3.3998,50.164,2.4,52.445,1.7037,57.097,1.1025,55.163,0.90226,52.893,0.19972,51.17,0.70437,50.207,0.60921,50.08,0.00072,49.979
7.5539,49.213,3.4021,50.167,2.4012,52.454,1.7302,57.172,1.1206,55.184,0.91979,52.915,0.20081,51.171,0.73465,50.216,0.65004,50.07,0.00714,49.977
7.6012,49.199,3.4364,50.206,2.416,52.574,1.7994,57.333,1.1879,55.248,0.98576,52.988,0.21287,51.178,0.84805,50.247,0.70004,50.058,0.03482,49.969
7.6376,49.194,3.5,50.288,2.463,52.987,1.8013,57.337,1.2009,55.259,1,53.003,0.26781,51.207,0.90021,50.262,0.70204,50.058,0.10006,49.951
7.7003,49.185,3.5041,50.295,2.497,53.318,1.8148,57.362,1.2151,55.271,1.0058,53.009,0.30133,51.224,0.9053,50.262,0.71737,50.06,0.10571,49.95
7.7144,49.186,3.5438,50.358,2.5,53.348,1.8453,57.415,1.2562,55.304,1.0518,53.05,0.32006,51.232,0.93525,50.264,0.77222,50.067,0.15392,49.94
7.8001,49.193,3.6,50.46,2.5007,53.355,1.8734,57.46,1.2937,55.331,1.1009,53.09,0.39999,51.265,1,50.268,0.8011,50.071,0.20007,49.93
7.8079,49.192,3.6041,50.468,2.5091,53.439,1.8998,57.5,1.3002,55.335,1.1149,53.099,0.4025,51.266,1.1,50.274,0.81193,50.07,0.20281,49.93
7.8929,49.18,3.6407,50.547,2.5451,53.814,1.9047,57.507,1.3048,55.339,1.1876,53.143,0.42401,51.272,1.1018,50.274,0.86109,50.068,0.22025,49.931
8,49.165,3.7003,50.69,2.5905,54.325,1.9397,57.555,1.3295,55.363,1.2014,53.15,0.49999,51.291,1.1184,50.27,0.90005,50.066,0.29569,49.937
8.4,49.109,3.7092,50.713,2.618,54.657,2,57.633,1.4,55.426,1.2179,53.156,0.5,51.291,1.1813,50.256,0.90234,50.065,0.3005,49.937
8.4052,49.109,3.7643,50.863,2.6384,54.913,2.0054,57.64,1.4006,55.427,1.2846,53.178,0.50029,51.291,1.2024,50.251,0.91931,50.059,0.30685,49.935
8.4838,49.104,3.8007,50.974,2.6568,55.151,2.0486,57.696,1.409,55.431,1.3012,53.183,0.50444,51.295,1.23,50.244,0.98876,50.035,0.33709,49.928
8.5026,49.102,3.8144,51.017,2.6737,55.377,2.1,57.762,1.4462,55.451,1.321,53.19,0.52258,51.313,1.3,50.225,1,50.032,0.40016,49.913
8.5504,49.092,3.8736,51.224,2.6896,55.595,2.1022,57.764,1.5,55.478,1.399,53.214,0.58892,51.376,1.3032,50.224,1.0013,50.031,0.40495,49.913
8.6008,49.082,3.9009,51.332,2.7,55.741,2.1211,57.785,1.6,55.525,1.4016,53.215,0.60042,51.387,1.3286,50.222,1.0139,50.03,0.43382,49.912
8.6364,49.077,3.9174,51.401,2.7012,55.758,2.1975,57.869,1.6019,55.527,1.4203,53.222,0.60708,51.395,1.3999,50.214,1.0662,50.025,0.5,49.91
8.7002,49.068,3.9807,51.7,2.7114,55.907,2.2011,57.873,1.6143,55.538,1.4992,53.251,0.63553,51.429,1.4025,50.215,1.1008,50.022,0.50238,49.91
8.7123,49.068,4,51.803,2.7421,56.368,2.2128,57.889,1.6631,55.583,1.5,53.251,0.70001,51.504,1.4259,50.216,1.1132,50.02,0.52325,49.907
8.7978,49.069,4.0032,51.82,2.7643,56.712,2.2651,57.96,1.7011,55.619,1.5042,53.252,0.70116,51.505,1.4988,50.221,1.1776,50.006,0.59906,49.896
8.8018,49.069,4.0289,51.965,2.7838,57.016,2.3018,58.011,1.7204,55.635,1.5372,53.26,0.7136,51.515,1.5,50.222,1.2004,50.002,0.60031,49.896
8.8363,49.063,4.0879,52.344,2.8,57.268,2.3253,58.042,1.7999,55.705,1.6003,53.274,0.76236,51.555,1.5023,50.221,1.2074,49.999,0.60643,49.894
8.9003,49.052,4.1289,52.649,2.8019,57.298,2.4,58.144,1.8006,55.705,1.612,53.277,0.80003,51.584,1.5237,50.219,1.2443,49.985,0.63987,49.883
8.9318,49.046,4.1653,52.953,2.8196,57.572,2.4013,58.145,1.809,55.71,1.6842,53.296,0.80188,51.585,1.6025,50.212,1.3001,49.964,0.77811,49.84
9,49.032,4.1891,53.17,2.8454,57.957,2.4138,58.159,1.8455,55.733,1.7008,53.301,0.81642,51.589,1.7003,50.203,1.3026,49.964,0.80109,49.834
9.032,49.026,4.2103,53.377,2.8637,58.214,2.4656,58.218,1.9001,55.767,1.7148,53.306,0.86831,51.606,1.7073,50.204,1.3187,49.964,0.81268,49.833
9.1003,49.015,4.2749,54.083,2.8802,58.428,2.5,58.258,1.9065,55.771,1.7865,53.331,0.9001,51.615,1.7468,50.209,1.3807,49.964,0.87135,49.827
9.1223,49.013,4.3001,54.391,2.8999,58.664,2.5027,58.262,1.9509,55.804,1.8018,53.337,0.90268,51.615,1.8002,50.216,1.4004,49.964,0.90023,49.825
9.2861,48.997,4.304,54.44,2.9019,58.686,2.5221,58.288,2,55.84,1.8255,53.347,0.9205,51.613,1.81,50.218,1.4098,49.965,0.90449,49.826
9.3006,48.996,4.3327,54.82,2.9167,58.841,2.6192,58.424,2.0086,55.847,1.9,53.377,0.98445,51.606,1.8703,50.23,1.4622,49.971,0.9274,49.831
9.3245,48.996,4.374,55.411,2.9572,59.19,2.7001,58.544,2.065,55.892,1.9018,53.378,1,51.604,1.9001,50.236,1.5,49.976,0.99986,49.85
9.4001,48.997,4.4003,55.815,2.9888,59.398,2.7037,58.551,2.1005,55.921,1.9197,53.389,1.0051,51.604,1.9032,50.235,1.5011,49.976,1,49.85
9.4206,48.998,4.4193,56.122,3,59.461,2.7245,58.589,2.1104,55.928,1.9951,53.436,1.0474,51.6,1.9218,50.232,1.5131,49.973,1.0017,49.85
9.5001,49.002,4.4367,56.415,3.0428,59.66,2.7998,58.73,2.17,55.971,2,53.439,1.1002,51.595,1.9915,50.218,1.5597,49.965,1.0127,49.849
9.5102,49.001,4.4682,56.978,3.0638,59.741,2.8014,58.733,2.3,56.069,2.0013,53.44,1.107,51.595,2,50.217,1.6001,49.959,1.0623,49.846
9.5998,48.996,4.5,57.589,3.0801,59.798,2.8177,58.763,2.3032,56.071,2.0153,53.445,1.1449,51.597,2.0047,50.215,1.6041,49.957,1.1,49.845
9.6049,48.996,4.5013,57.615,3.0951,59.847,2.8924,58.905,2.3385,56.1,2.0737,53.469,1.2,51.599,2.0452,50.205,1.6325,49.948,1.1015,49.844
9.6845,48.986,4.514,57.867,3.1003,59.864,2.9014,58.923,2.4002,56.153,2.1008,53.48,1.2015,51.599,2.0999,50.192,1.753,49.907,1.1122,49.84
9.8002,48.971,4.5346,58.285,3.1054,59.881,2.9212,58.964,2.4069,56.158,2.1137,53.484,1.2165,51.604,2.1006,50.192,1.8004,49.891,1.1636,49.818
9.816,48.971,4.5495,58.593,3.1303,59.962,2.9761,59.08,2.4536,56.193,2.1729,53.503,1.2774,51.622,2.1073,50.193,1.8069,49.891,1.2002,49.803
9.9004,48.97,4.5627,58.862,3.195,60.156,3,59.133,2.5,56.23,2.2022,53.511,1.3016,51.629,2.1374,50.199,1.841,49.888,1.2059,49.802
9.9302,48.968,4.5758,59.125,3.2002,60.17,3.0073,59.149,2.5024,56.231,2.2302,53.519,1.319,51.636,2.2492,50.223,1.9011,49.883,1.2406,49.792
10,48.965,4.5915,59.431,3.2038,60.179,3.0595,59.266,2.5199,56.24,2.3001,53.537,1.3978,51.666,2.3002,50.234,1.9169,49.883,1.3,49.777
10.102,48.96,4.6022,59.63,3.2211,60.22,3.1008,59.363,2.591,56.279,2.3088,53.539,1.4007,51.667,2.3041,50.233,2,49.882,1.3014,49.777
10.151,48.961,4.6232,59.991,3.2792,60.353,3.1097,59.382,2.6002,56.285,2.3791,53.562,1.4093,51.667,2.3297,50.232,2.1003,49.882,1.3118,49.778
10.2,48.962,4.6467,60.341,3.3771,60.576,3.1566,59.486,2.6048,56.289,2.5,53.601,1.4431,51.671,2.3998,50.227,2.1102,49.882,1.3635,49.781
10.207,48.96,4.684,60.772,3.4009,60.63,3.2002,59.588,2.6295,56.311,2.5086,53.604,1.5,51.676,2.4072,50.226,2.1817,49.887,1.4001,49.785
10.264,48.943,4.7001,60.916,3.4119,60.658,3.2062,59.603,2.7,56.376,2.5672,53.627,1.5018,51.677,2.4604,50.22,2.2009,49.888,1.403,49.784
10.4,48.903,4.703,60.941,3.4756,60.819,3.2479,59.712,2.7025,56.378,2.6002,53.64,1.5215,51.682,2.5,50.215,2.2125,49.888,1.4195,49.781
10.402,48.903,4.7217,61.085,3.5,60.882,3.3001,59.856,2.7223,56.401,2.6075,53.644,1.599,51.701,2.5065,50.214,2.2507,49.886,1.4923,49.77
10.427,48.903,4.7592,61.316,3.5017,60.886,3.3044,59.868,2.799,56.492,2.6477,53.664,1.6024,51.702,2.5568,50.205,2.2999,49.884,1.5,49.769
10.5,48.906,4.7847,61.445,3.5138,60.915,3.3368,59.967,2.8029,56.497,2.7001,53.691,1.6323,51.708,2.6002,50.198,2.3026,49.884,1.502,49.768
10.508,48.904,4.8,61.516,3.5615,61.029,3.4001,60.173,2.8294,56.526,2.706,53.693,1.7,51.721,2.6042,50.199,2.3265,49.88,1.5168,49.763
10.573,48.895,4.8027,61.528,3.6001,61.126,3.4062,60.194,2.9001,56.607,2.7443,53.707,1.7073,51.722,2.6306,50.202,2.4,49.869,1.5952,49.738
10.606,48.89,4.8278,61.633,3.6034,61.136,3.452,60.359,2.9037,56.612,2.8869,53.759,1.7601,51.729,2.7,50.21,2.4007,49.869,1.6007,49.737
10.692,48.884,4.8849,61.852,3.6252,61.198,3.5,60.546,2.9305,56.648,2.9006,53.764,1.8008,51.734,2.7059,50.211,2.4091,49.865,1.6086,49.737
10.704,48.884,4.9009,61.91,3.6998,61.425,3.508,60.578,3,56.744,2.9098,53.769,1.8193,51.735,2.7515,50.219,2.4456,49.849,1.6437,49.74
10.753,48.889,4.9107,61.944,3.7012,61.43,3.5648,60.819,3.0038,56.749,2.9593,53.796,1.8998,51.741,2.8003,50.227,2.5,49.825,1.7001,49.745
10.802,48.894,4.9607,62.116,3.7154,61.477,3.6004,60.984,3.0315,56.786,3,53.818,1.9021,51.741,2.808,50.228,2.5009,49.825,1.7034,49.746
10.843,48.901,5,62.252,3.7935,61.755,3.6092,61.026,3.1002,56.879,3.0048,53.821,1.9309,51.742,2.8562,50.231,2.5107,49.825,1.7234,49.752
10.9,48.912,5.0016,62.257,3.8005,61.781,3.67,61.337,3.1076,56.889,3.0463,53.847,2,51.743,2.9001,50.234,2.5493,49.822,1.7998,49.776
10.905,48.911,5.0142,62.298,3.8073,61.808,3.7001,61.508,3.159,56.959,3.1006,53.88,2,51.743,2.9042,50.235,2.6,49.818,1.8013,49.776
10.95,48.908,5.0777,62.513,3.841,61.948,3.703,61.525,3.2016,57.019,3.1152,53.89,2.0006,51.743,2.9306,50.243,2.6014,49.819,1.8113,49.777
11,48.905,5.1004,62.593,3.9,62.212,3.7235,61.654,3.2224,57.048,3.1977,53.947,2.0077,51.746,3,50.264,2.6144,49.821,1.865,49.781
11.002,48.904,5.1071,62.618,3.9012,62.218,3.7872,62.1,3.3,57.16,3.2013,53.95,2.0398,51.761,3,50.264,2.6693,49.831,1.9004,49.784
11.037,48.894,5.1415,62.749,3.9115,62.263,3.8005,62.203,3.3025,57.164,3.2163,53.958,2.1006,51.788,3.0015,50.264,2.7003,49.836,1.9074,49.784
11.1,48.877,5.2,62.989,3.96,62.49,3.8064,62.249,3.3205,57.194,3.2713,53.988,2.1151,51.794,3.0172,50.265,2.7047,49.835,1.953,49.783
11.107,48.876,5.2015,62.995,4,62.695,3.8441,62.564,3.4,57.331,3.3019,54.004,2.1988,51.828,3.0784,50.27,2.7294,49.83,2,49.782
11.174,48.864,5.2136,63.051,4.0016,62.703,3.9,63.111,3.4036,57.337,3.3238,54.014,2.2003,51.828,3.1002,50.272,2.7993,49.814,2.0027,49.783
11.201,48.86,5.2687,63.319,4.0166,62.782,3.9016,63.129,3.4308,57.383,3.3999,54.049,2.2056,51.828,3.1051,50.271,2.8003,49.814,2.0249,49.786
11.216,48.859,5.3001,63.484,4.0814,63.159,3.9168,63.298,3.5,57.505,3.4029,54.051,2.2347,51.831,3.1341,50.267,2.8048,49.815,2.0999,49.797
11.3,48.857,5.3037,63.503,4.1007,63.284,3.9453,63.645,3.5012,57.507,3.4341,54.067,2.3416,51.839,3.2001,50.258,2.8266,49.82,2.1022,49.798
11.303,48.858,5.3273,63.631,4.1098,63.346,3.9669,63.942,3.5107,57.522,3.5,54.103,2.401,51.843,3.2079,50.258,2.8997,49.835,2.1183,49.803
11.341,48.863,5.4057,64.111,4.1609,63.724,3.9866,64.243,3.5501,57.584,3.5089,54.107,2.4211,51.846,3.2708,50.253,2.902,49.836,2.1901,49.83
11.4,48.873,5.4599,64.503,4.2312,64.356,4,64.466,3.6001,57.668,3.5731,54.139,2.5,51.857,3.3005,50.251,2.9196,49.844,2.2003,49.834
11.406,48.873,5.4965,64.805,4.2646,64.718,4.0016,64.495,3.6028,57.673,3.6005,54.154,2.5084,51.858,3.3086,50.251,2.9724,49.868,2.2071,49.836
11.457,48.872,5.5,64.836,4.3,65.162,4.0173,64.787,3.6219,57.709,3.6085,54.159,2.576,51.871,3.3439,50.255,3,49.881,2.2508,49.848
11.5,48.871,5.5019,64.852,4.301,65.176,4.044,65.358,3.6999,57.865,3.653,54.189,2.6007,51.876,3.384,50.259,3.0006,49.881,2.3,49.862
11.506,48.87,5.5202,65.018,4.3093,65.295,4.0597,65.753,3.701,57.867,3.8,54.294,2.6131,51.88,3.4005,50.26,3.0077,49.881,2.3018,49.862
11.559,48.859,5.5643,65.467,4.3402,65.783,4.072,66.106,3.7111,57.89,3.8056,54.298,2.6769,51.899,3.4099,50.262,3.0371,49.883,2.3128,49.862
11.601,48.851,5.5933,65.808,4.366,66.262,4.0726,66.122,3.768,58.023,3.8563,54.333,2.7015,51.907,3.4627,50.274,3.1001,49.886,2.3721,49.863
11.638,48.846,5.6008,65.904,4.3851,66.673,4.0726,66.122,3.8998,58.365,3.9031,54.366,2.7219,51.916,3.5,50.282,3.1032,49.886,2.4001,49.863
11.7,48.839,5.6153,66.099,4.3994,67.02,4.0726,66.122,3.9036,58.375,3.9354,54.391,2.8,51.948,3.6001,50.304,3.1239,49.883,2.404,49.864
11.709,48.84,5.6723,67.028,4.4006,67.049,4.0727,66.123,3.9365,58.467,4,54.441,2.8028,51.95,3.6046,50.304,3.1996,49.875,2.4276,49.871
11.778,48.844,5.7,67.615,4.4066,67.209,4.0727,66.126,4,58.658,4.0048,54.445,2.8255,51.962,3.6319,50.306,3.2026,49.876,2.4999,49.894
11.807,48.845,5.7012,67.643,4.4269,67.809,4.0729,66.132,4.0016,58.663,4.0382,54.468,2.8991,52.002,3.7,50.31,3.2208,49.877,2.5,49.894
11.88,48.847,5.7087,67.828,4.4287,67.87,4.0736,66.152,4.0152,58.703,4.1001,54.512,2.9003,52.002,3.702,50.31,3.2992,49.884,2.5038,49.895
11.902,48.848,5.7259,68.294,4.4287,67.87,4.0757,66.216,4.079,58.906,4.1039,54.516,2.9059,52.003,3.7239,50.309,3.3016,49.884,2.5375,49.909
11.933,48.853,5.7407,68.761,4.4287,67.87,4.0796,66.34,4.1642,59.212,4.1318,54.541,2.931,52.009,3.8,50.306,3.3172,49.888,2.6,49.936
12,48.862,5.7457,68.933,4.4287,67.871,4.0871,66.593,4.2,59.354,4.1997,54.603,2.9998,52.023,3.8013,50.306,3.3875,49.908,2.6031,49.937
12.003,48.862,5.7457,68.933,4.4288,67.874,4.0983,67.008,4.2017,59.361,4.2008,54.604,3,52.024,3.8182,50.307,3.4006,49.912,2.6329,49.949
