,690K,,729K,,742K,,761K,,777K,,797K,,815K,,840K,,867K,,893K
-24.589,4.4418,-24.9,3.7138,-25,3.5135,-24.9,3.2554,-24.9,3.0146,-25,2.7975,-25.203,2.5944,-24.301,2.3337,-24.173,2.117,-24.201,1.9309
-24.457,4.4397,-24.8,3.7234,-24.8,3.5135,-24.801,3.2538,-24.8,3.021,-24.9,2.7959,-25.1,2.5882,-24.201,2.3303,-24.053,2.1181,-24.175,1.9282
-24.307,4.4385,-24.699,3.7266,-24.703,3.5228,-24.703,3.26,-24.7,3.0226,-24.7,2.7959,-25.043,2.5771,-24.11,2.3534,-24,2.1206,-24.099,1.9197
-24.2,4.4418,-24.594,3.7254,-24.639,3.5191,-24.6,3.2649,-24.6,3.0146,-24.6,2.807,-25,2.569,-24.081,2.358,-23.9,2.1222,-24,1.9134
-24.1,4.4402,-24.5,3.7313,-24.5,3.5087,-24.5,3.2633,-24.5,3.013,-24.505,2.8071,-24.9,2.5752,-24,2.3671,-23.8,2.127,-23.9,1.9246
-24,4.453,-24.399,3.7362,-24.4,3.5167,-24.4,3.2602,-24.399,3.0227,-24.5,2.8071,-24.8,2.5866,-23.9,2.3734,-23.7,2.1365,-23.8,1.931
-24,4.453,-24.281,3.744,-24.3,3.5167,-24.27,3.2638,-24.21,3.0304,-24.401,2.796,-24.7,2.5913,-23.75,2.3663,-23.6,2.1429,-23.748,1.9227
-23.897,4.476,-24.184,3.749,-24.179,3.5283,-24.186,3.2662,-24.137,3.0396,-24.323,2.7959,-24.599,2.5897,-23.696,2.3642,-23.5,2.1509,-23.67,1.9136
-23.764,4.4977,-24.093,3.7409,-24.098,3.5357,-24.092,3.2756,-24.028,3.053,-24.267,2.7969,-24.5,2.5787,-23.5,2.383,-23.4,2.1541,-23.596,1.9107
-23.607,4.4812,-24,3.741,-24,3.531,-24,3.2889,-24,3.0561,-24.1,2.7959,-24.321,2.5929,-23.399,2.3926,-23.3,2.1509,-23.5,1.9182
-23.5,4.4849,-23.9,3.7473,-23.9,3.5422,-23.823,3.2876,-23.9,3.0513,-24,2.7975,-24.268,2.5986,-23.3,2.3878,-23.1,2.1573,-23.4,1.9309
-23.399,4.5042,-23.8,3.741,-23.8,3.5422,-23.7,3.2872,-23.7,3.0449,-23.901,2.8101,-24.197,2.6073,-23.2,2.3766,-23,2.1541,-23.3,1.9389
-23.3,4.5217,-23.702,3.7503,-23.7,3.5311,-23.597,3.2824,-23.591,3.0448,-23.807,2.8176,-24.099,2.6086,-23.096,2.3847,-22.807,2.1554,-23.203,1.9359
-23.2,4.5455,-23.638,3.7623,-23.604,3.5356,-23.5,3.2809,-23.5,3.0433,-23.751,2.8142,-24,2.5803,-23,2.3878,-22.781,2.1596,-23.141,1.931
-23.1,4.5599,-23.5,3.7633,-23.547,3.5425,-23.4,3.2872,-23.4,3.0513,-23.692,2.8107,-23.9,2.5866,-22.9,2.3878,-22.7,2.1765,-23.085,1.9285
-23,4.5711,-23.5,3.7633,-23.5,3.5486,-23.3,3.2953,-23.3,3.0625,-23.598,2.817,-23.809,2.6054,-22.8,2.3846,-22.6,2.186,-23,1.9326
-22.9,4.5727,-23.4,3.7601,-23.371,3.5712,-23.199,3.3018,-23.2,3.0689,-23.5,2.8341,-23.701,2.6057,-22.604,2.3971,-22.5,2.1876,-22.899,1.9373
-22.793,4.5807,-23.3,3.776,-23.254,3.5903,-23.099,3.3145,-23.1,3.0801,-23.399,2.839,-23.663,2.611,-22.512,2.4044,-22.4,2.1813,-22.8,1.9342
-22.697,4.5826,-23.2,3.7888,-23.179,3.5977,-23,3.3319,-23.001,3.0943,-23.296,2.845,-23.599,2.62,-22.5,2.4054,-22.3,2.1701,-22.7,1.9422
-22.6,4.5951,-23.1,3.7984,-23.07,3.5912,-22.9,3.3351,-23,3.0944,-23.189,2.8384,-23.5,2.6168,-22.402,2.421,-22.288,2.1728,-22.6,1.9469
-22.5,4.6285,-23,3.8032,-23,3.5789,-22.8,3.3319,-22.9,3.0992,-23,2.8341,-23.4,2.6105,-22.338,2.4173,-22.199,2.1927,-22.5,1.9485
-22.399,4.6398,-22.799,3.7969,-22.9,3.5693,-22.7,3.3367,-22.8,3.0976,-23,2.8341,-23.3,2.6201,-22.232,2.4138,-22.096,2.2193,-22.401,1.9627
