Time690,690K,Time728,728K,Time759,759K,Time854,854K,Time866,866K,Time899,899K
29.706,201.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.799,201.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.807,201.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.9,200.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.904,200.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.959,200.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.004,200.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.095,201.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.101,201.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.117,201.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.2,200.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.208,200.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.3,200.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.314,200.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.4,200.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.409,200.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.5,200.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.504,200.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.576,200.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.601,200.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.625,200.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.7,200.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.711,200.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.799,200.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.803,200.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.843,200.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.9,200.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.91,200.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.999,200.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.011,200.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.1,200.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.103,200.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.133,200.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.2,200.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.213,200.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.3,200.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.302,200.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.329,200.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.401,200.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.426,200.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.5,200.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.506,200.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.591,200.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.602,200.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.64,200.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.7,200.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.713,200.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.8,200.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.802,200.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.83,200.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.9,200.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.92,200.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,200.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.006,200.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.094,200.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.205,200.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.3,200.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.309,200.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.4,200.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.403,200.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.44,200.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.501,200.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.516,200.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.6,200.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.609,200.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.693,200.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.701,200.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.72,200.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.8,200.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.808,200.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.899,200.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.91,200.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,200.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.015,200.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.101,200.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.144,200.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.201,200.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.229,200.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.4,200.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.415,200.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.586,200.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.6,200.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.611,200.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.7,200.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.724,200.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.801,200.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.839,200.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.901,200.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.932,200.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.003,200.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.184,200.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.211,200.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.4,200.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.4,200.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.407,200.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.498,200.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.513,200.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.6,200.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.604,200.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.643,200.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.701,200.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.722,200.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.801,200.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.824,200.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,200.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.01,200.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.1,200.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.128,200.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.2,200.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.317,200.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.401,200.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.427,200.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.502,200.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.597,200.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.608,200.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.701,200.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.775,200.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.802,200.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.85,200.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.9,200.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.912,200.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,200.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,200.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.02,200.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.1,200.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.114,200.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.2,200.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.204,200.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.253,200.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.302,200.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.349,200.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.401,200.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.42,200.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.5,200.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.512,200.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.6,200.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.604,200.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.657,200.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.704,200.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.8,199.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.832,199.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.901,199.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.913,199.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,199.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.028,199.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.1,199.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.112,199.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.2,199.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.205,199.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.296,199.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.306,199.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.4,199.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.406,199.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.488,199.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.514,199.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.6,199.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.609,199.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.699,199.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.707,199.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.798,199.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.802,199.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.823,199.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.901,199.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.913,199.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,199.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.006,199.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.1,199.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.103,199.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.148,199.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.202,199.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.231,199.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.302,199.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.374,199.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.4,199.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.404,199.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.448,199.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.501,199.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.537,199.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.605,199.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.696,199.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.909,199.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,199.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.015,199.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.1,199.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.122,199.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.2,199.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.214,199.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.3,199.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.307,199.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.4,199.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.419,199.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.5,199.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.505,199.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.59,199.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.604,199.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.663,199.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.722,199.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.801,199.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.816,199.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.9,199.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.908,199.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,199.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,199.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.004,199.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.057,199.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.104,199.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.2,199.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.203,199.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.238,199.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.308,199.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.4,199.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.436,199.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.5,199.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.512,199.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.6,199.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.616,199.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.7,199.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.712,199.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.8,199.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.8,199.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.818,199.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.9,199.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.921,199.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,199.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.009,199.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.099,199.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.122,199.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.2,199.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.218,199.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.399,199.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.426,199.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.6,199.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.626,199.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.708,199.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.801,199.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.827,199.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.9,199.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.918,199.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,199.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.018,199.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.1,199.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.116,199.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.202,199.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.255,199.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.302,199.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.345,199.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.4,199.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.501,199.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.521,199.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.8,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.803,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.836,199.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.903,199.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,199.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.003,199.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.033,199.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.2,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.208,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.3,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.312,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.4,199.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.421,199.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.501,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.526,199.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.602,199.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.649,199.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.701,199.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.722,199.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.8,199.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.838,199.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.9,199.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.913,199.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,198.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,198.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.032,198.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.1,198.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.114,198.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.2,198.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.219,198.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.301,199.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.315,199.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.4,199.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.413,199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.5,198.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.506,198.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.591,198.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.604,198.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.648,198.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.701,198.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.728,198.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.8,198.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
