,"690 K",,"728 K",,"759 K",,"854 K",,"866 K",,"899 K"
-10.30000000,11.84500000,-10.30000000,9.55260000,-10.30000000,8.53880000,-8.30000000,7.94020000,-8.30000000,7.78370000,-9.30000000,5.78150000
-10.20000000,12.01000000,-10.20000000,9.67700000,-10.20000000,8.65050000,-8.20000000,8.09650000,-8.20000000,7.91450000,-9.20000000,5.88360000
-10.10000000,12.15400000,-10.10000000,9.80780000,-10.10000000,8.77490000,-8.10000000,8.23850000,-8.10000000,8.04850000,-9.10000000,5.98570000
-10.00000000,12.31500000,-10.00000000,9.92270000,-10.00000000,8.88820000,-8.00000000,8.38040000,-8.00000000,8.21440000,-9.00000000,6.08460000
-9.90000000,12.47000000,-9.90000000,10.04900000,-9.90000000,9.01580000,-7.90000000,8.55430000,-7.90000000,8.36750000,-8.90000000,6.17390000
-9.80000000,12.63700000,-9.80000000,10.18700000,-9.80000000,9.15620000,-7.80000000,8.72020000,-7.80000000,8.52070000,-8.80000000,6.26640000
-9.70000000,12.79800000,-9.70000000,10.32600000,-9.70000000,9.28700000,-7.70000000,8.89250000,-7.70000000,8.68340000,-8.70000000,6.38450000
-9.60000000,12.97200000,-9.60000000,10.46500000,-9.60000000,9.41940000,-7.60000000,9.06960000,-7.60000000,8.84610000,-8.60000000,6.52490000
-9.50000000,13.16700000,-9.50000000,10.61300000,-9.50000000,9.55020000,-7.50000000,9.22910000,-7.50000000,9.01680000,-8.50000000,6.65090000
-9.40000000,13.34400000,-9.40000000,10.74700000,-9.40000000,9.67460000,-7.40000000,9.40620000,-7.40000000,9.21140000,-8.40000000,6.77530000
-9.30000000,13.53700000,-9.30000000,10.88900000,-9.30000000,9.81660000,-7.30000000,9.59920000,-7.30000000,9.40930000,-8.30000000,6.90450000
-9.20000000,13.73500000,-9.20000000,11.04700000,-9.20000000,9.96500000,-7.20000000,9.80980000,-7.20000000,9.58950000,-8.20000000,7.02260000
-9.10000000,13.93300000,-9.10000000,11.21600000,-9.10000000,10.09700000,-7.10000000,10.03300000,-7.10000000,9.80650000,-8.10000000,7.16460000
-9.00000000,14.13100000,-9.00000000,11.40000000,-9.00000000,10.24900000,-7.00000000,10.26000000,-7.00000000,10.04600000,-8.00000000,7.30820000
-8.90000000,14.34400000,-8.90000000,11.56600000,-8.90000000,10.43700000,-6.90000000,10.46500000,-6.90000000,10.26000000,-7.90000000,7.41500000
-8.80000000,14.56400000,-8.80000000,11.73600000,-8.80000000,10.60500000,-6.80000000,10.69000000,-6.80000000,10.46500000,-7.80000000,7.56180000
-8.70000000,14.76100000,-8.70000000,11.93100000,-8.70000000,10.77100000,-6.70000000,10.94900000,-6.70000000,10.68400000,-7.70000000,7.74370000
-8.60000000,14.96800000,-8.60000000,12.11800000,-8.60000000,10.94000000,-6.60000000,11.19900000,-6.60000000,10.93000000,-7.60000000,7.90160000
-8.50000000,15.19900000,-8.50000000,12.28800000,-8.50000000,11.09800000,-6.50000000,11.45500000,-6.50000000,11.18000000,-7.50000000,8.05950000
-8.40000000,15.42900000,-8.40000000,12.46700000,-8.40000000,11.28600000,-6.40000000,11.74500000,-6.40000000,11.44000000,-7.40000000,8.20470000
-8.30000000,15.65600000,-8.30000000,12.66800000,-8.30000000,11.49200000,-6.30000000,12.03200000,-6.30000000,11.72700000,-7.30000000,8.37060000
-8.20000000,15.89700000,-8.20000000,12.86800000,-8.20000000,11.68800000,-6.20000000,12.29800000,-6.20000000,12.03500000,-7.20000000,8.56680000
-8.10000000,16.14700000,-8.10000000,13.08000000,-8.10000000,11.87900000,-6.10000000,12.59000000,-6.10000000,12.33300000,-7.10000000,8.75030000
-8.00000000,16.40100000,-8.00000000,13.30000000,-8.00000000,12.07900000,-6.00000000,12.89500000,-6.00000000,12.61100000,-7.00000000,8.93690000
-7.90000000,16.67300000,-7.90000000,13.50900000,-7.90000000,12.30400000,-5.90000000,13.22800000,-5.90000000,12.92200000,-6.90000000,9.13950000
-7.80000000,16.94900000,-7.80000000,13.72300000,-7.80000000,12.51700000,-5.80000000,13.56800000,-5.80000000,13.25100000,-6.80000000,9.34210000
-7.70000000,17.20900000,-7.70000000,13.96000000,-7.70000000,12.71200000,-5.70000000,13.91000000,-5.70000000,13.57500000,-6.70000000,9.56710000
-7.60000000,17.49200000,-7.60000000,14.20300000,-7.60000000,12.94500000,-5.60000000,14.28600000,-5.60000000,13.93800000,-6.60000000,9.82390000
-7.50000000,17.78800000,-7.50000000,14.43300000,-7.50000000,13.18700000,-5.50000000,14.68500000,-5.50000000,14.33100000,-6.50000000,10.05700000
-7.40000000,18.09800000,-7.40000000,14.68300000,-7.40000000,13.43100000,-5.40000000,15.10300000,-5.40000000,14.71400000,-6.40000000,10.27500000
-7.30000000,18.41100000,-7.30000000,14.94100000,-7.30000000,13.68000000,-5.30000000,15.52100000,-5.30000000,15.11100000,-6.30000000,10.52700000
-7.20000000,18.71900000,-7.20000000,15.19500000,-7.20000000,13.92100000,-5.20000000,15.94500000,-5.20000000,15.54800000,-6.20000000,10.80000000
-7.10000000,19.03800000,-7.10000000,15.46300000,-7.10000000,14.18400000,-5.10000000,16.40100000,-5.10000000,16.01700000,-6.10000000,11.08900000
-7.00000000,19.35000000,-7.00000000,15.73100000,-7.00000000,14.45400000,-5.00000000,16.87800000,-5.00000000,16.49700000,-6.00000000,11.38400000
-6.90000000,19.68400000,-6.90000000,16.02000000,-6.90000000,14.71700000,-4.90000000,17.37800000,-4.90000000,16.96000000,-5.90000000,11.69000000
-6.80000000,20.03600000,-6.80000000,16.32400000,-6.80000000,15.01400000,-4.80000000,17.90700000,-4.80000000,17.45400000,-5.80000000,12.01300000
-6.70000000,20.39500000,-6.70000000,16.62800000,-6.70000000,15.31700000,-4.70000000,18.46900000,-4.70000000,18.00800000,-5.70000000,12.33000000
-6.60000000,20.77600000,-6.60000000,16.95000000,-6.60000000,15.61900000,-4.60000000,19.06100000,-4.60000000,18.57600000,-5.60000000,12.65700000
-6.50000000,21.16900000,-6.50000000,17.26300000,-6.50000000,15.93800000,-4.50000000,19.68500000,-4.50000000,19.17700000,-5.50000000,13.01300000
-6.40000000,21.55700000,-6.40000000,17.60200000,-6.40000000,16.26300000,-4.40000000,20.33700000,-4.40000000,19.82000000,-5.40000000,13.40500000
-6.30000000,21.96800000,-6.30000000,17.95800000,-6.30000000,16.58700000,-4.30000000,21.00500000,-4.30000000,20.47200000,-5.30000000,13.79800000
-6.20000000,22.38300000,-6.20000000,18.29100000,-6.20000000,16.94100000,-4.20000000,21.70300000,-4.20000000,21.14100000,-5.20000000,14.20300000
-6.10000000,22.80700000,-6.10000000,18.63400000,-6.10000000,17.31100000,-4.10000000,22.46200000,-4.10000000,21.87300000,-5.10000000,14.63700000
-6.00000000,23.25100000,-6.00000000,19.01300000,-6.00000000,17.66900000,-4.00000000,23.24800000,-4.00000000,22.65200000,-5.00000000,15.09600000
-5.90000000,23.69300000,-5.90000000,19.41000000,-5.90000000,18.05100000,-3.90000000,24.05200000,-3.90000000,23.43600000,-4.90000000,15.58300000
-5.80000000,24.17000000,-5.80000000,19.81200000,-5.80000000,18.45200000,-3.80000000,24.91900000,-3.80000000,24.26400000,-4.80000000,16.07300000
-5.70000000,24.66400000,-5.70000000,20.22700000,-5.70000000,18.86700000,-3.70000000,25.81400000,-3.70000000,25.12100000,-4.70000000,16.57800000
-5.60000000,25.13500000,-5.60000000,20.65200000,-5.60000000,19.28100000,-3.60000000,26.71500000,-3.60000000,26.01000000,-4.60000000,17.13000000
-5.50000000,25.64000000,-5.50000000,21.09000000,-5.50000000,19.72800000,-3.50000000,27.63100000,-3.50000000,26.90300000,-4.50000000,17.73200000
-5.40000000,26.17600000,-5.40000000,21.55400000,-5.40000000,20.20700000,-3.40000000,28.62900000,-3.40000000,27.90000000,-4.40000000,18.37100000
-5.30000000,26.71600000,-5.30000000,22.02400000,-5.30000000,20.68700000,-3.30000000,29.64900000,-3.30000000,28.92700000,-4.30000000,19.02400000
-5.20000000,27.28000000,-5.20000000,22.50500000,-5.20000000,21.18100000,-3.20000000,30.62000000,-3.20000000,29.84100000,-4.20000000,19.70700000
-5.10000000,27.84800000,-5.10000000,23.01500000,-5.10000000,21.67900000,-3.10000000,31.51500000,-3.10000000,30.84000000,-4.10000000,20.43100000
-5.00000000,28.44500000,-5.00000000,23.52400000,-5.00000000,22.18800000,-3.00000000,32.61900000,-3.00000000,31.84800000,-4.00000000,21.19800000
-4.90000000,29.07500000,-4.90000000,24.06000000,-4.90000000,22.74000000,-2.90000000,33.79800000,-2.90000000,32.92800000,-3.90000000,22.03600000
-4.80000000,29.72400000,-4.80000000,24.62500000,-4.80000000,23.33700000,-2.80000000,34.77600000,-2.80000000,34.02300000,-3.80000000,22.88900000
-4.70000000,30.37500000,-4.70000000,25.19600000,-4.70000000,23.93600000,-2.70000000,35.87700000,-2.70000000,35.06300000,-3.70000000,23.75500000
-4.60000000,31.04000000,-4.60000000,25.80000000,-4.60000000,24.52700000,-2.60000000,37.00800000,-2.60000000,36.13000000,-3.60000000,24.67300000
-4.50000000,31.72300000,-4.50000000,26.40200000,-4.50000000,25.16600000,-2.50000000,38.10800000,-2.50000000,37.25200000,-3.50000000,25.66300000
-4.40000000,32.41900000,-4.40000000,27.02700000,-4.40000000,25.85200000,-2.40000000,39.27000000,-2.40000000,38.49600000,-3.40000000,26.70700000
-4.30000000,33.12200000,-4.30000000,27.69600000,-4.30000000,26.53700000,-2.30000000,40.34500000,-2.30000000,39.63600000,-3.30000000,27.77200000
-4.20000000,33.82400000,-4.20000000,28.38800000,-4.20000000,27.24700000,-2.20000000,41.28000000,-2.20000000,40.60500000,-3.20000000,28.78200000
-4.10000000,34.53700000,-4.10000000,29.11100000,-4.10000000,28.00700000,-2.10000000,42.13000000,-2.10000000,41.49000000,-3.10000000,29.76300000
-4.00000000,35.24900000,-4.00000000,29.84900000,-4.00000000,28.79900000,-2.00000000,43.09700000,-2.00000000,42.41200000,-3.00000000,30.80800000
-3.90000000,35.97300000,-3.90000000,30.60400000,-3.90000000,29.58200000,-1.90000000,44.20100000,-1.90000000,43.49100000,-2.90000000,31.96900000
-3.80000000,36.68000000,-3.80000000,31.35200000,-3.80000000,30.36700000,-1.80000000,45.09100000,-1.80000000,44.53900000,-2.80000000,33.25500000
-3.70000000,37.38300000,-3.70000000,32.11900000,-3.70000000,31.19500000,-1.70000000,45.76200000,-1.70000000,45.30900000,-2.70000000,34.45200000
-3.60000000,38.12500000,-3.60000000,32.90700000,-3.60000000,32.00400000,-1.60000000,46.49600000,-1.60000000,46.03300000,-2.60000000,35.53300000
-3.50000000,38.88000000,-3.50000000,33.71100000,-3.50000000,32.88900000,-1.50000000,47.24300000,-1.50000000,46.84400000,-2.50000000,36.68700000
-3.40000000,39.61500000,-3.40000000,34.50400000,-3.40000000,33.75000000,-1.40000000,47.79300000,-1.40000000,47.66200000,-2.40000000,37.88300000
-3.30000000,40.28500000,-3.30000000,35.22800000,-3.30000000,34.49500000,-1.30000000,48.20300000,-1.30000000,48.21900000,-2.30000000,39.19100000
-3.20000000,40.96800000,-3.20000000,35.98000000,-3.20000000,35.30100000,-1.20000000,48.58300000,-1.20000000,48.52700000,-2.20000000,40.38900000
-3.10000000,41.65700000,-3.10000000,36.88100000,-3.10000000,36.18600000,-1.10000000,48.92400000,-1.10000000,48.89400000,-2.10000000,41.30200000
-3.00000000,42.34800000,-3.00000000,37.75100000,-3.00000000,37.10500000,-1.00000000,49.08900000,-1.00000000,49.20200000,-2.00000000,42.31600000
-2.90000000,43.03200000,-2.90000000,38.49900000,-2.90000000,37.96800000,-0.90000000,49.10800000,-0.90000000,49.37400000,-1.90000000,43.49200000
-2.80000000,43.68800000,-2.80000000,39.26000000,-2.80000000,38.84400000,-0.80000000,49.25300000,-0.80000000,49.45900000,-1.80000000,44.59000000
-2.70000000,44.32900000,-2.70000000,40.04100000,-2.70000000,39.70400000,-0.70000000,49.49100000,-0.70000000,49.58900000,-1.70000000,45.40200000
-2.60000000,44.90000000,-2.60000000,40.77200000,-2.60000000,40.52900000,-0.60000000,49.59900000,-0.60000000,49.76200000,-1.60000000,46.14700000
-2.50000000,45.48700000,-2.50000000,41.52000000,-2.50000000,41.33100000,-0.50000000,49.61300000,-0.50000000,49.80600000,-1.50000000,47.08800000
-2.40000000,46.03800000,-2.40000000,42.33500000,-2.40000000,42.14800000,-0.40000000,49.65300000,-0.40000000,49.77900000,-1.40000000,47.90800000
-2.30000000,46.52700000,-2.30000000,43.10300000,-2.30000000,42.98900000,-0.30000000,49.68500000,-0.30000000,49.82500000,-1.30000000,48.34600000
-2.20000000,46.96400000,-2.20000000,43.78200000,-2.20000000,43.70000000,-0.20000000,49.72500000,-0.20000000,49.88600000,-1.20000000,48.68100000
-2.10000000,47.37600000,-2.10000000,44.41100000,-2.10000000,44.42300000,-0.10000000,49.83700000,-0.10000000,49.95900000,-1.10000000,49.09900000
-2.00000000,47.83100000,-2.00000000,45.07600000,-2.00000000,45.19300000,0.00000000,49.90700000,0.00000000,50.00900000,-1.00000000,49.33700000
-1.90000000,48.23400000,-1.90000000,45.74600000,-1.90000000,45.85700000,0.10000000,49.87300000,0.10000000,49.95600000,-0.90000000,49.39000000
-1.80000000,48.58200000,-1.80000000,46.29500000,-1.80000000,46.39500000,0.20000000,49.86900000,0.20000000,49.92800000,-0.80000000,49.50100000
-1.70000000,48.82100000,-1.70000000,46.77000000,-1.70000000,46.90000000,0.30000000,49.93200000,0.30000000,49.95600000,-0.70000000,49.68300000
-1.60000000,49.03300000,-1.60000000,47.27100000,-1.60000000,47.46200000,0.40000000,49.97100000,0.40000000,49.97400000,-0.60000000,49.77100000
-1.50000000,49.24900000,-1.50000000,47.79300000,-1.50000000,48.02300000,0.50000000,49.95200000,0.50000000,49.97500000,-0.50000000,49.77900000
-1.40000000,49.38600000,-1.40000000,48.27900000,-1.40000000,48.43000000,0.60000000,49.94400000,0.60000000,49.91800000,-0.40000000,49.82500000
-1.30000000,49.44800000,-1.30000000,48.63000000,-1.30000000,48.67100000,0.70000000,49.96300000,0.70000000,49.87800000,-0.30000000,49.85200000
-1.20000000,49.46300000,-1.20000000,48.84700000,-1.20000000,48.94100000,0.80000000,49.99000000,0.80000000,49.91000000,-0.20000000,49.88800000
-1.10000000,49.55200000,-1.10000000,49.07100000,-1.10000000,49.27900000,0.90000000,50.03600000,0.90000000,49.94700000,-0.10000000,49.97200000
-1.00000000,49.68000000,-1.00000000,49.32100000,-1.00000000,49.47700000,1.00000000,50.06200000,1.00000000,49.96400000,0.00000000,50.02600000
-0.90000000,49.73900000,-0.90000000,49.44100000,-0.90000000,49.46900000,1.10000000,50.07100000,1.10000000,49.98000000,0.10000000,49.98000000
-0.80000000,49.72900000,-0.80000000,49.43600000,-0.80000000,49.51600000,1.20000000,50.09200000,1.20000000,50.00400000,0.20000000,49.91800000
-0.70000000,49.72900000,-0.70000000,49.49200000,-0.70000000,49.67300000,1.30000000,50.12400000,1.30000000,49.96400000,0.30000000,49.97700000
-0.60000000,49.76700000,-0.60000000,49.62400000,-0.60000000,49.72700000,1.40000000,50.15600000,1.40000000,49.94800000,0.40000000,50.03700000
-0.50000000,49.82800000,-0.50000000,49.72300000,-0.50000000,49.71600000,1.50000000,50.17500000,1.50000000,49.97900000,0.50000000,50.00900000
-0.40000000,49.85300000,-0.40000000,49.73700000,-0.40000000,49.74500000,1.60000000,50.21500000,1.60000000,49.96300000,0.60000000,49.98300000
-0.30000000,49.84400000,-0.30000000,49.70900000,-0.30000000,49.79200000,1.70000000,50.27900000,1.70000000,49.98200000,0.70000000,50.01200000
-0.20000000,49.83600000,-0.20000000,49.72300000,-0.20000000,49.80800000,1.80000000,50.32600000,1.80000000,50.06300000,0.80000000,50.04900000
-0.10000000,49.84200000,-0.10000000,49.79300000,-0.10000000,49.84500000,1.90000000,50.37900000,1.90000000,50.10600000,0.90000000,50.06300000
0.00000000,49.85800000,0.00000000,49.84600000,0.00000000,49.89800000,2.00000000,50.43300000,2.00000000,50.11600000,1.00000000,50.12500000
0.10000000,49.83400000,0.10000000,49.83000000,0.10000000,49.87700000,2.10000000,50.48400000,2.10000000,50.14400000,1.10000000,50.19200000
0.20000000,49.79900000,0.20000000,49.78500000,0.20000000,49.85500000,2.20000000,50.56300000,2.20000000,50.17500000,1.20000000,50.21300000
0.30000000,49.78000000,0.30000000,49.78500000,0.30000000,49.84200000,2.30000000,50.63800000,2.30000000,50.22600000,1.30000000,50.25800000
0.40000000,49.78500000,0.40000000,49.77700000,0.40000000,49.85600000,2.40000000,50.71400000,2.40000000,50.30700000,1.40000000,50.34200000
0.50000000,49.79800000,0.50000000,49.74500000,0.50000000,49.85300000,2.50000000,50.82400000,2.50000000,50.40100000,1.50000000,50.46300000
0.60000000,49.79400000,0.60000000,49.73400000,0.60000000,49.79100000,2.60000000,50.93900000,2.60000000,50.47800000,1.60000000,50.60900000
0.70000000,49.78300000,0.70000000,49.71300000,0.70000000,49.76500000,2.70000000,51.04600000,2.70000000,50.55100000,1.70000000,50.78700000
0.80000000,49.77200000,0.80000000,49.68600000,0.80000000,49.78800000,2.80000000,51.17000000,2.80000000,50.66600000,1.80000000,51.04200000
0.90000000,49.75500000,0.90000000,49.68600000,0.90000000,49.80200000,2.90000000,51.33600000,2.90000000,50.81100000,1.90000000,51.33800000
1.00000000,49.72900000,1.00000000,49.68600000,1.00000000,49.81500000,3.00000000,51.53200000,3.00000000,50.97900000,2.00000000,51.74300000
1.10000000,49.72300000,1.10000000,49.66600000,1.10000000,49.82400000,3.10000000,51.78300000,3.10000000,51.16200000,2.10000000,52.42200000
1.20000000,49.70300000,1.20000000,49.63200000,1.20000000,49.79700000,3.20000000,52.11600000,3.20000000,51.37100000,2.20000000,53.71900000
1.30000000,49.66700000,1.30000000,49.60000000,1.30000000,49.80000000,3.30000000,52.48800000,3.30000000,51.66200000,2.30000000,82.77200000
1.40000000,49.65900000,1.40000000,49.58700000,1.40000000,49.84800000,3.40000000,52.93300000,3.40000000,52.04000000,2.40000000,141.10000000
1.50000000,49.66000000,1.50000000,49.57300000,1.50000000,49.90100000,3.50000000,53.54300000,3.50000000,52.53400000,2.50000000,168.99000000
1.60000000,49.64000000,1.60000000,49.54600000,1.60000000,49.95700000,3.60000000,54.46500000,3.60000000,53.20700000,2.60000000,161.17000000
1.70000000,49.63000000,1.70000000,49.49500000,1.70000000,50.04500000,3.70000000,56.06900000,3.70000000,54.27600000,2.70000000,151.31000000
1.80000000,49.63300000,1.80000000,49.45800000,1.80000000,50.20100000,3.80000000,73.50300000,3.80000000,59.79100000,2.80000000,150.81000000
1.90000000,49.61900000,1.90000000,49.45800000,1.90000000,50.45600000,3.90000000,120.31000000,3.90000000,106.02000000,2.90000000,149.53000000
2.00000000,49.58700000,2.00000000,49.43300000,2.00000000,50.91700000,4.00000000,151.93000000,4.00000000,154.71000000,3.00000000,142.34000000
2.10000000,49.58200000,2.10000000,49.40600000,2.10000000,51.79800000,4.10000000,150.30000000,4.10000000,156.51000000,3.10000000,139.92000000
2.20000000,49.58900000,2.20000000,49.39400000,2.20000000,53.47400000,4.20000000,149.23000000,4.20000000,160.33000000,3.20000000,139.18000000
2.30000000,49.56000000,2.30000000,49.36900000,2.30000000,56.23300000,4.30000000,148.42000000,4.30000000,161.17000000,3.30000000,137.19000000
2.40000000,49.52600000,2.40000000,49.36600000,2.40000000,58.99200000,4.40000000,144.22000000,4.40000000,148.87000000,3.40000000,134.54000000
2.50000000,49.51500000,2.50000000,49.35100000,2.50000000,60.74700000,4.50000000,141.54000000,4.50000000,144.33000000,3.50000000,132.16000000
2.60000000,49.51000000,2.60000000,49.33200000,2.60000000,74.78200000,4.60000000,139.29000000,4.60000000,140.56000000,3.60000000,129.67000000
2.70000000,49.50100000,2.70000000,49.31500000,2.70000000,139.45000000,4.70000000,137.37000000,4.70000000,138.36000000,3.70000000,126.87000000
2.80000000,49.49600000,2.80000000,49.27800000,2.80000000,198.20000000,4.80000000,136.29000000,4.80000000,139.73000000,3.80000000,124.70000000
2.90000000,49.48500000,2.90000000,49.25600000,2.90000000,190.83000000,4.90000000,134.57000000,4.90000000,136.56000000,3.90000000,122.20000000
3.00000000,49.47500000,3.00000000,49.23500000,3.00000000,177.14000000,5.00000000,131.44000000,5.00000000,131.29000000,4.00000000,119.84000000
3.10000000,49.46400000,3.10000000,49.21900000,3.10000000,179.94000000,5.10000000,129.34000000,5.10000000,128.39000000,4.10000000,118.02000000
3.20000000,49.44500000,3.20000000,49.21900000,3.20000000,173.99000000,5.20000000,128.32000000,5.20000000,126.89000000,4.20000000,116.30000000
3.30000000,49.42400000,3.30000000,49.21600000,3.30000000,167.00000000,5.30000000,126.74000000,5.30000000,125.54000000,4.30000000,113.99000000
3.40000000,49.41800000,3.40000000,49.21300000,3.40000000,168.93000000,5.40000000,124.37000000,5.40000000,122.72000000,4.40000000,110.95000000
3.50000000,49.41300000,3.50000000,49.19500000,3.50000000,166.51000000,5.50000000,121.68000000,5.50000000,120.03000000,4.50000000,108.75000000
3.60000000,49.41500000,3.60000000,49.17300000,3.60000000,159.98000000,5.60000000,119.43000000,5.60000000,117.03000000,4.60000000,106.92000000
3.70000000,49.41200000,3.70000000,49.16800000,3.70000000,154.82000000,5.70000000,117.17000000,5.70000000,114.87000000,4.70000000,105.26000000
3.80000000,49.38100000,3.80000000,49.15400000,3.80000000,151.43000000,5.80000000,114.51000000,5.80000000,113.29000000,4.80000000,103.16000000
3.90000000,49.38300000,3.90000000,49.13400000,3.90000000,149.82000000,5.90000000,111.53000000,5.90000000,110.66000000,4.90000000,101.11000000
4.00000000,49.38800000,4.00000000,49.13000000,4.00000000,147.87000000,6.00000000,109.04000000,6.00000000,107.93000000,5.00000000,99.19600000
4.10000000,49.36400000,4.10000000,49.12800000,4.10000000,144.90000000,6.10000000,107.48000000,6.10000000,106.03000000,5.10000000,97.31000000
4.20000000,49.34500000,4.20000000,49.11800000,4.20000000,142.86000000,6.20000000,105.40000000,6.20000000,104.20000000,5.20000000,95.55700000
4.30000000,49.32700000,4.30000000,49.10400000,4.30000000,140.65000000,6.30000000,102.66000000,6.30000000,101.19000000,5.30000000,93.60900000
4.40000000,49.31400000,4.40000000,49.10300000,4.40000000,136.81000000,6.40000000,100.34000000,6.40000000,?,5.40000000,91.49100000
4.50000000,49.31100000,4.50000000,49.09600000,4.50000000,133.97000000,6.50000000,98.27400000,6.50000000,?,5.50000000,89.90200000
4.60000000,49.29500000,4.60000000,49.09100000,4.60000000,132.38000000,6.60000000,96.41900000,6.60000000,?,5.60000000,88.53100000
4.70000000,49.27100000,4.70000000,49.10300000,4.70000000,129.35000000,6.70000000,94.52500000,6.70000000,?,5.70000000,86.77300000
4.80000000,49.26300000,4.80000000,49.09100000,4.80000000,126.37000000,6.80000000,92.23700000,6.80000000,?,5.80000000,84.86100000
4.90000000,49.25400000,4.90000000,49.07500000,4.90000000,125.10000000,6.90000000,89.95000000,6.90000000,?,5.90000000,83.32800000
5.00000000,49.24900000,5.00000000,49.06900000,5.00000000,122.50000000,7.00000000,88.16500000,7.00000000,?,6.00000000,82.10600000
5.10000000,49.23400000,5.10000000,49.07400000,5.10000000,118.69000000,7.10000000,86.70000000,7.10000000,?,6.10000000,80.69200000
5.20000000,49.22800000,5.20000000,49.08800000,5.20000000,115.83000000,7.20000000,84.74600000,7.20000000,?,6.20000000,79.20400000
5.30000000,49.22200000,5.30000000,49.07700000,5.30000000,113.66000000,7.30000000,82.67500000,7.30000000,?,6.30000000,77.46200000
5.40000000,49.20600000,5.40000000,49.07400000,5.40000000,112.01000000,7.40000000,81.02700000,7.40000000,?,6.40000000,76.11100000
5.50000000,49.19800000,5.50000000,49.08000000,5.50000000,110.34000000,7.50000000,79.38600000,7.50000000,?,6.50000000,75.19200000
5.60000000,49.18000000,5.60000000,49.07100000,5.60000000,107.82000000,7.60000000,77.91300000,7.60000000,?,6.60000000,73.86800000
5.70000000,49.17400000,5.70000000,49.08300000,5.70000000,104.96000000,7.70000000,76.39800000,7.70000000,?,6.70000000,72.40000000
5.80000000,49.15900000,5.80000000,49.11200000,5.80000000,102.61000000,7.80000000,74.64800000,7.80000000,?,6.80000000,71.20300000
5.90000000,49.14200000,5.90000000,49.13000000,5.90000000,100.74000000,7.90000000,73.12100000,7.90000000,?,6.90000000,70.17500000
6.00000000,49.13700000,6.00000000,49.16200000,6.00000000,98.60000000,8.00000000,71.88200000,8.00000000,?,7.00000000,69.16600000
6.10000000,49.11600000,6.10000000,49.18700000,6.10000000,96.17000000,8.10000000,70.65200000,8.10000000,?,7.10000000,68.09400000
6.20000000,49.11800000,6.20000000,49.21300000,6.20000000,94.05000000,8.20000000,69.11700000,8.20000000,?,7.20000000,66.91500000
6.30000000,49.14700000,6.30000000,49.25700000,6.30000000,92.16600000,8.30000000,67.62900000,8.30000000,?,7.30000000,65.77600000
6.40000000,49.12300000,6.40000000,49.29900000,6.40000000,90.39100000,8.40000000,66.49100000,8.40000000,?,7.40000000,64.91000000
6.50000000,49.08900000,6.50000000,49.36600000,6.50000000,88.54800000,8.50000000,65.39100000,8.50000000,?,7.50000000,64.16200000
6.60000000,49.07500000,6.60000000,49.46900000,6.60000000,86.40100000,8.60000000,64.18800000,8.60000000,?,7.60000000,63.09200000
6.70000000,49.06400000,6.70000000,49.60300000,6.70000000,84.54100000,8.70000000,62.95800000,8.70000000,?,7.70000000,61.95600000
6.80000000,49.05700000,6.80000000,49.78200000,6.80000000,83.03300000,8.80000000,61.72100000,8.80000000,?,7.80000000,61.14200000
6.90000000,49.02400000,6.90000000,50.04400000,6.90000000,81.50800000,8.90000000,60.73100000,8.90000000,?,7.90000000,60.49600000
7.00000000,49.01700000,7.00000000,50.41900000,7.00000000,79.79800000,9.00000000,59.94400000,9.00000000,?,8.00000000,59.77700000
7.10000000,49.02400000,7.10000000,51.00100000,7.10000000,77.91100000,9.10000000,58.85000000,9.10000000,?,8.10000000,58.96300000
7.20000000,49.00800000,7.20000000,51.95200000,7.20000000,76.25600000,9.20000000,57.68100000,9.20000000,?,8.20000000,58.12400000
7.30000000,49.00000000,7.30000000,53.40300000,7.30000000,74.87300000,9.30000000,56.76000000,9.30000000,?,8.30000000,57.40600000
7.40000000,48.99000000,7.40000000,55.48700000,7.40000000,73.46100000,9.40000000,55.94500000,9.40000000,?,8.40000000,56.84900000
7.50000000,48.99200000,7.50000000,59.31900000,7.50000000,71.89300000,9.50000000,55.18100000,9.50000000,?,8.50000000,56.27000000
7.60000000,48.99700000,7.60000000,68.18700000,7.60000000,70.34800000,9.60000000,54.33400000,9.60000000,?,8.60000000,55.50000000
7.70000000,48.98600000,7.70000000,134.55000000,7.70000000,69.02700000,9.70000000,53.40100000,9.70000000,?,8.70000000,54.73600000
7.80000000,48.96500000,7.80000000,184.95000000,7.80000000,67.94200000,9.80000000,52.57400000,9.80000000,?,8.80000000,54.20100000
7.90000000,48.94700000,7.90000000,187.00000000,7.90000000,66.78100000,9.90000000,51.85800000,9.90000000,?,8.90000000,53.78000000
8.00000000,48.96300000,8.00000000,214.30000000,8.00000000,65.34600000,10.00000000,51.19900000,10.00000000,?,9.00000000,53.27700000
8.10000000,48.96800000,8.10000000,236.01000000,8.10000000,64.08300000,10.10000000,50.43500000,10.10000000,?,9.10000000,52.70800000
8.20000000,48.94400000,8.20000000,235.14000000,8.20000000,63.10300000,10.20000000,49.59900000,10.20000000,?,9.20000000,52.15900000
8.30000000,48.94300000,8.30000000,225.12000000,8.30000000,62.05200000,10.30000000,48.99800000,10.30000000,?,9.30000000,51.68400000
8.40000000,48.94600000,8.40000000,218.05000000,8.40000000,60.84000000,10.40000000,48.46200000,10.40000000,?,9.40000000,51.27500000
