,"690 K",,"728 K",,"759 K",,"854 K",,"866 K",,"899 K"
-24.00000000,4.54780000,-24.00000000,3.77290000,-24.00000000,3.29670000,-22.00000000,2.31200000,-22.00000000,2.24490000,-23.00000000,1.92890000
-23.90000000,4.55250000,-23.90000000,3.77450000,-23.90000000,3.30470000,-21.90000000,2.32160000,-21.90000000,2.25130000,-22.90000000,1.91770000
-23.80000000,4.54620000,-23.80000000,3.79210000,-23.80000000,3.31750000,-21.80000000,2.33120000,-21.80000000,2.25450000,-22.80000000,1.92890000
-23.70000000,4.56050000,-23.70000000,3.80000000,-23.70000000,3.30790000,-21.70000000,2.34230000,-21.70000000,2.26560000,-22.70000000,1.94960000
-23.60000000,4.57810000,-23.60000000,3.80160000,-23.60000000,3.31750000,-21.60000000,2.35190000,-21.60000000,2.26400000,-22.60000000,1.95600000
-23.50000000,4.58760000,-23.50000000,3.80800000,-23.50000000,3.34300000,-21.50000000,2.35830000,-21.50000000,2.26090000,-22.50000000,1.95920000
-23.40000000,4.59880000,-23.40000000,3.80800000,-23.40000000,3.34460000,-21.40000000,2.35990000,-21.40000000,2.27040000,-22.40000000,1.94960000
-23.30000000,4.61160000,-23.30000000,3.82240000,-23.30000000,3.33980000,-21.30000000,2.36310000,-21.30000000,2.28480000,-22.30000000,1.94960000
-23.20000000,4.62750000,-23.20000000,3.83830000,-23.20000000,3.34940000,-21.20000000,2.37430000,-21.20000000,2.29590000,-22.20000000,1.96240000
-23.10000000,4.63550000,-23.10000000,3.85590000,-23.10000000,3.36050000,-21.10000000,2.38540000,-21.10000000,2.30390000,-22.10000000,1.97520000
-23.00000000,4.63550000,-23.00000000,3.87660000,-23.00000000,3.37330000,-21.00000000,2.39340000,-21.00000000,2.30870000,-22.00000000,1.98150000
-22.90000000,4.65780000,-22.90000000,3.87180000,-22.90000000,3.37810000,-20.90000000,2.39660000,-20.90000000,2.31990000,-21.90000000,1.99110000
-22.80000000,4.67860000,-22.80000000,3.85910000,-22.80000000,3.37650000,-20.80000000,2.41250000,-20.80000000,2.32470000,-21.80000000,1.98150000
-22.70000000,4.68650000,-22.70000000,3.87980000,-22.70000000,3.38930000,-20.70000000,2.42370000,-20.70000000,2.33740000,-21.70000000,1.97680000
-22.60000000,4.70570000,-22.60000000,3.90690000,-22.60000000,3.40200000,-20.60000000,2.41250000,-20.60000000,2.34220000,-21.60000000,1.98470000
-22.50000000,4.72960000,-22.50000000,3.91010000,-22.50000000,3.41320000,-20.50000000,2.41410000,-20.50000000,2.35340000,-21.50000000,1.99270000
-22.40000000,4.75670000,-22.40000000,3.91010000,-22.40000000,3.41800000,-20.40000000,2.43170000,-20.40000000,2.37090000,-21.40000000,2.00550000
-22.30000000,4.77110000,-22.30000000,3.92610000,-22.30000000,3.42910000,-20.30000000,2.45080000,-20.30000000,2.37410000,-21.30000000,2.00870000
-22.20000000,4.77590000,-22.20000000,3.94680000,-22.20000000,3.44510000,-20.20000000,2.47480000,-20.20000000,2.38210000,-21.20000000,2.00710000
-22.10000000,4.78700000,-22.10000000,3.95800000,-22.10000000,3.45470000,-20.10000000,2.48590000,-20.10000000,2.38370000,-21.10000000,2.01660000
-22.00000000,4.80620000,-22.00000000,3.96120000,-22.00000000,3.45310000,-20.00000000,2.48270000,-20.00000000,2.39010000,-21.00000000,2.03260000
-21.90000000,4.82370000,-21.90000000,3.97550000,-21.90000000,3.47700000,-19.90000000,2.47790000,-19.90000000,2.40760000,-20.90000000,2.04380000
-21.80000000,4.84610000,-21.80000000,3.99620000,-21.80000000,3.50410000,-19.80000000,2.49710000,-19.80000000,2.42680000,-20.80000000,2.04220000
-21.70000000,4.87000000,-21.70000000,4.00580000,-21.70000000,3.51050000,-19.70000000,2.52740000,-19.70000000,2.44270000,-20.70000000,2.04700000
-21.60000000,4.87800000,-21.60000000,4.02340000,-21.60000000,3.50410000,-19.60000000,2.54340000,-19.60000000,2.44910000,-20.60000000,2.06130000
-21.50000000,4.89070000,-21.50000000,4.03450000,-21.50000000,3.51370000,-19.50000000,2.55450000,-19.50000000,2.44910000,-20.50000000,2.06290000
-21.40000000,4.90830000,-21.40000000,4.04570000,-21.40000000,3.53280000,-19.40000000,2.56250000,-19.40000000,2.46820000,-20.40000000,2.07410000
-21.30000000,4.93380000,-21.30000000,4.06170000,-21.30000000,3.53920000,-19.30000000,2.56090000,-19.30000000,2.49220000,-20.30000000,2.08050000
-21.20000000,4.95770000,-21.20000000,4.07920000,-21.20000000,3.55360000,-19.20000000,2.57050000,-19.20000000,2.51610000,-20.20000000,2.08050000
-21.10000000,4.97530000,-21.10000000,4.09360000,-21.10000000,3.56950000,-19.10000000,2.59120000,-19.10000000,2.53200000,-20.10000000,2.09320000
-21.00000000,5.00080000,-21.00000000,4.10630000,-21.00000000,3.58390000,-19.00000000,2.61670000,-19.00000000,2.53050000,-20.00000000,2.10440000
-20.90000000,5.01840000,-20.90000000,4.12550000,-20.90000000,3.59350000,-18.90000000,2.62790000,-18.90000000,2.53200000,-19.90000000,2.11240000
-20.80000000,5.03910000,-20.80000000,4.13500000,-20.80000000,3.60780000,-18.80000000,2.63270000,-18.80000000,2.54000000,-19.80000000,2.12510000
-20.70000000,5.06780000,-20.70000000,4.13660000,-20.70000000,3.61580000,-18.70000000,2.65500000,-18.70000000,2.57030000,-19.70000000,2.14270000
-20.60000000,5.09490000,-20.60000000,4.15260000,-20.60000000,3.63170000,-18.60000000,2.67260000,-18.60000000,2.59110000,-19.60000000,2.15060000
-20.50000000,5.11410000,-20.50000000,4.19730000,-20.50000000,3.67000000,-18.50000000,2.68370000,-18.50000000,2.59750000,-19.50000000,2.16500000
-20.40000000,5.13960000,-20.40000000,4.23390000,-20.40000000,3.68920000,-18.40000000,2.69330000,-18.40000000,2.60540000,-19.40000000,2.17620000
-20.30000000,5.15550000,-20.30000000,4.24990000,-20.30000000,3.68760000,-18.30000000,2.70130000,-18.30000000,2.62300000,-19.30000000,2.18100000
-20.20000000,5.16190000,-20.20000000,4.25150000,-20.20000000,3.70510000,-18.20000000,2.71560000,-18.20000000,2.64530000,-19.20000000,2.19530000
-20.10000000,5.19380000,-20.10000000,4.25950000,-20.10000000,3.72750000,-18.10000000,2.73800000,-18.10000000,2.66290000,-19.10000000,2.20330000
-20.00000000,5.22570000,-20.00000000,4.28020000,-20.00000000,3.74180000,-18.00000000,2.75390000,-18.00000000,2.68360000,-19.00000000,2.21760000
-19.90000000,5.25610000,-19.90000000,4.31050000,-19.90000000,3.77050000,-17.90000000,2.76350000,-17.90000000,2.69960000,-18.90000000,2.24160000
-19.80000000,5.29590000,-19.80000000,4.34080000,-19.80000000,3.77850000,-17.80000000,2.76830000,-17.80000000,2.72030000,-18.80000000,2.25110000
-19.70000000,5.31830000,-19.70000000,4.34720000,-19.70000000,3.78170000,-17.70000000,2.80180000,-17.70000000,2.75220000,-18.70000000,2.24800000
-19.60000000,5.33900000,-19.60000000,4.35680000,-19.60000000,3.80880000,-17.60000000,2.84330000,-17.60000000,2.77770000,-18.60000000,2.25590000
-19.50000000,5.38050000,-19.50000000,4.38390000,-19.50000000,3.83590000,-17.50000000,2.86560000,-17.50000000,2.76340000,-18.50000000,2.27350000
-19.40000000,5.40760000,-19.40000000,4.40620000,-19.40000000,3.85990000,-17.40000000,2.87200000,-17.40000000,2.77610000,-18.40000000,2.29580000
-19.30000000,5.42830000,-19.30000000,4.43650000,-19.30000000,3.87900000,-17.30000000,2.87360000,-17.30000000,2.81760000,-18.30000000,2.31810000
-19.20000000,5.45390000,-19.20000000,4.47000000,-19.20000000,3.89660000,-17.20000000,2.89750000,-17.20000000,2.83990000,-18.20000000,2.33250000
-19.10000000,5.48580000,-19.10000000,4.48920000,-19.10000000,3.92690000,-17.10000000,2.91980000,-17.10000000,2.85750000,-18.10000000,2.34050000
-19.00000000,5.52880000,-19.00000000,4.51150000,-19.00000000,3.95400000,-17.00000000,2.94860000,-17.00000000,2.87020000,-18.00000000,2.35010000
-18.90000000,5.55120000,-18.90000000,4.54340000,-18.90000000,3.96040000,-16.90000000,2.97410000,-16.90000000,2.88140000,-17.90000000,2.37080000
-18.80000000,5.57350000,-18.80000000,4.56580000,-18.80000000,3.97790000,-16.80000000,2.97570000,-16.80000000,2.90530000,-17.80000000,2.38040000
-18.70000000,5.56870000,-18.70000000,4.58970000,-18.70000000,4.00660000,-16.70000000,2.97570000,-16.70000000,2.93090000,-17.70000000,2.38040000
-18.60000000,5.60220000,-18.60000000,4.62480000,-18.60000000,4.02420000,-16.60000000,3.00280000,-16.60000000,2.93090000,-17.60000000,2.38830000
-18.50000000,5.68360000,-18.50000000,4.65830000,-18.50000000,4.03530000,-16.50000000,3.04110000,-16.50000000,2.94680000,-17.50000000,2.41070000
-18.40000000,5.72510000,-18.40000000,4.67580000,-18.40000000,4.05930000,-16.40000000,3.06020000,-16.40000000,2.97870000,-17.40000000,2.45060000
-18.30000000,5.75700000,-18.30000000,4.67100000,-18.30000000,4.09280000,-16.30000000,3.08890000,-16.30000000,3.01220000,-17.30000000,2.47770000
-18.20000000,5.78730000,-18.20000000,4.69340000,-18.20000000,4.13430000,-16.20000000,3.12080000,-16.20000000,3.04250000,-17.20000000,2.48090000
-18.10000000,5.81760000,-18.10000000,4.74440000,-18.10000000,4.15820000,-16.10000000,3.14160000,-16.10000000,3.04730000,-17.10000000,2.49840000
-18.00000000,5.84950000,-18.00000000,4.79550000,-18.00000000,4.16460000,-16.00000000,3.15910000,-16.00000000,3.07440000,-17.00000000,2.52070000
-17.90000000,5.87820000,-17.90000000,4.83540000,-17.90000000,4.19010000,-15.90000000,3.18150000,-15.90000000,3.11750000,-16.90000000,2.53030000
-17.80000000,5.92130000,-17.80000000,4.85450000,-17.80000000,4.22520000,-15.80000000,3.21660000,-15.80000000,3.13190000,-16.80000000,2.54470000
-17.70000000,5.98510000,-17.70000000,4.85930000,-17.70000000,4.26190000,-15.70000000,3.24050000,-15.70000000,3.14620000,-16.70000000,2.55740000
-17.60000000,6.02020000,-17.60000000,4.87360000,-17.60000000,4.27620000,-15.60000000,3.27080000,-15.60000000,3.18130000,-16.60000000,2.57820000
-17.50000000,6.03930000,-17.50000000,4.90560000,-17.50000000,4.30020000,-15.50000000,3.30110000,-15.50000000,3.21480000,-16.50000000,2.59730000
-17.40000000,6.08560000,-17.40000000,4.95500000,-17.40000000,4.34320000,-15.40000000,3.31870000,-15.40000000,3.23880000,-16.40000000,2.62280000
-17.30000000,6.13980000,-17.30000000,5.00450000,-17.30000000,4.37830000,-15.30000000,3.34260000,-15.30000000,3.26910000,-16.30000000,2.64360000
-17.20000000,6.17970000,-17.20000000,5.04110000,-17.20000000,4.40540000,-15.20000000,3.37610000,-15.20000000,3.29620000,-16.20000000,2.64680000
-17.10000000,6.20840000,-17.10000000,5.06030000,-17.10000000,4.42140000,-15.10000000,3.40480000,-15.10000000,3.32010000,-16.10000000,2.66110000
-17.00000000,6.23710000,-17.00000000,5.07460000,-17.00000000,4.45970000,-15.00000000,3.42230000,-15.00000000,3.35840000,-16.00000000,2.68030000
-16.90000000,6.30410000,-16.90000000,5.10660000,-16.90000000,4.49640000,-14.90000000,3.46700000,-14.90000000,3.38870000,-15.90000000,2.71060000
-16.80000000,6.36480000,-16.80000000,5.14640000,-16.80000000,4.51070000,-14.80000000,3.51330000,-14.80000000,3.40150000,-15.80000000,2.73770000
-16.70000000,6.40150000,-16.70000000,5.19590000,-16.70000000,4.53790000,-14.70000000,3.52920000,-14.70000000,3.42380000,-15.70000000,2.74730000
-16.60000000,6.43660000,-16.60000000,5.22940000,-16.60000000,4.56180000,-14.60000000,3.54520000,-14.60000000,3.45890000,-15.60000000,2.75680000
-16.50000000,6.47640000,-16.50000000,5.26450000,-16.50000000,4.59690000,-14.50000000,3.58510000,-14.50000000,3.49080000,-15.50000000,2.78240000
-16.40000000,6.52590000,-16.40000000,5.29960000,-16.40000000,4.64470000,-14.40000000,3.62970000,-14.40000000,3.51630000,-15.40000000,2.82230000
-16.30000000,6.58330000,-16.30000000,5.32990000,-16.30000000,4.68780000,-14.30000000,3.65370000,-14.30000000,3.55780000,-15.30000000,2.84940000
-16.20000000,6.63280000,-16.20000000,5.38570000,-16.20000000,4.73410000,-14.20000000,3.67440000,-14.20000000,3.60250000,-15.20000000,2.86850000
-16.10000000,6.68060000,-16.10000000,5.43200000,-16.10000000,4.76120000,-14.10000000,3.70950000,-14.10000000,3.63440000,-15.10000000,2.90040000
-16.00000000,6.74120000,-16.00000000,5.45590000,-16.00000000,4.77870000,-14.00000000,3.76850000,-14.00000000,3.67430000,-15.00000000,2.93070000
-15.90000000,6.79070000,-15.90000000,5.48940000,-15.90000000,4.81860000,-13.90000000,3.81960000,-13.90000000,3.71570000,-14.90000000,2.94670000
-15.80000000,6.83060000,-15.80000000,5.54370000,-15.80000000,4.86330000,-13.80000000,3.84190000,-13.80000000,3.73650000,-14.80000000,2.98500000
