#T\dC\n	1000/T\dC\n (1/K)	First Stage (ms)	Overall (ms)
696.00	1.4368	25.750	30.800
710.00	1.4085	16.800	23.200
726.00	1.3774	13.650	23.200
741.00	1.3495	10.800	28.450
758.00	1.3193	10.800	36.650
778.00	1.2853	nan   	58.650
799.00	1.2516	nan   	68.250
824.00	1.2136	nan   	58.000
851.00	1.1751	nan   	33.200
880.00	1.1364	nan   	14.350
