#T\dC\n	1000/T\dC\n (1/K)	First Stage (ms)	Overall (ms)
692.00	1.4451	48.000	65.400
706.00	1.4164	34.950	61.800
722.00	1.3850	32.900	74.650
737.00	1.3569	32.300	114.00
753.00	1.3280	41.900	167.00
773.00	1.2937	nan   	264.00
794.00	1.2594	nan   	287.00
818.00	1.2225	nan   	294.00
843.00	1.1862	nan   	187.00
874.00	1.1442	nan   	64.950
