Time       Trigger  Sample
-0.03992    0.10    6.52
-0.03988    0.08    6.52
-0.03984    0.08    6.52
-0.03980    0.10    6.52
-0.03976    0.12    6.52
-0.03972    0.10    6.52
-0.03968    0.10    6.52
-0.03964    0.10    6.52
-0.03960    0.12    6.52
-0.03956    0.10    6.52
-0.03952    0.10    6.52
-0.03948    0.12    6.52
-0.03944    0.10    6.52
-0.03940    0.10    6.52
-0.03936    0.10    6.52
-0.03932    0.10    6.52
-0.03928    0.06    6.52
-0.03924    0.08    6.52
-0.03920    0.10    6.52
-0.03916    0.10    6.52
-0.03912    0.10    6.52
-0.03908    0.16    6.52
-0.03904    0.10    6.52
-0.03900    0.12    6.56
-0.03896    0.12    6.52
-0.03892    0.10    6.52
-0.03888    0.10    6.52
-0.03884    0.10    6.52
-0.03880    0.10    6.52
-0.03876    0.10    6.52
-0.03872    0.10    6.52
-0.03868    0.02    6.52
-0.03864    0.10    6.52
-0.03860    0.10    6.52
-0.03856    0.10    6.52
-0.03852    0.10    6.52
-0.03848    0.14    6.52
-0.03844    0.08    6.52
-0.03840    0.10    6.52
-0.03836    0.10    6.52
-0.03832    0.10    6.52
-0.03828    0.02   6.52
-0.03824    0.10    6.52
-0.03820    0.08    6.52
-0.03816    0.10    6.52
-0.03812    0.10    6.56
-0.03808    0.12    6.52
-0.03804    0.10    6.52
-0.03800    0.10    6.52
-0.03796    0.10    6.52
-0.03792    0.10    6.52
-0.03788    0.10    6.52
-0.03784    0.10    6.52
-0.03780    0.10    6.52
-0.03776    0.08    6.52
-0.03772    0.10    6.52
-0.03768    0.10    6.52
-0.03764    0.10    6.52
-0.03760    0.10    6.52
-0.03756    0.10    6.52
-0.03752    0.10    6.52
-0.03748    0.10    6.56
-0.03744    0.10    6.52
-0.03740    0.10    6.52
-0.03736    0.10    6.52
-0.03732    0.08    6.52
-0.03728    0.10    6.52
-0.03724    0.10    6.52
-0.03720    0.10    6.52
-0.03716    0.10    6.52
-0.03712    0.10    6.56
-0.03708    0.10    6.52
-0.03704    0.10    6.52
-0.03700    0.10    6.52
-0.03696    0.10    6.52
-0.03692    0.10    6.52
-0.03688    0.08    6.52
-0.03684    0.10    6.52
-0.03680    0.10    6.52
-0.03676    0.10    6.52
-0.03672    0.10    6.52
-0.03668    0.10    6.52
-0.03664    0.10    6.52
-0.03660    0.10    6.52
-0.03656    0.10    6.52
-0.03652    0.10    6.52
-0.03648    0.10    6.52
-0.03644    0.08    6.52
-0.03640    0.10    6.52
-0.03636    0.10    6.52
-0.03632    0.10    6.52
-0.03628    0.10    6.52
-0.03624    0.12    6.52
-0.03620    0.10    6.52
-0.03616    0.10    6.56
-0.03612    0.10    6.52
-0.03608    0.08    6.52
-0.03604    0.10    6.52
-0.03600    0.10    6.52
-0.03596    0.10    6.52
-0.03592    0.10    6.52
-0.03588    0.08    6.52
-0.03584    0.10    6.52
-0.03580    0.10    6.52
-0.03576    0.10    6.52
-0.03572    0.10    6.52
-0.03568    0.10    6.52
-0.03564    0.10    6.56
-0.03560    0.10    6.56
-0.03556    0.08    6.52
-0.03552    0.10    6.52
-0.03548    0.08    6.52
-0.03544    0.10    6.52
-0.03540    0.10    6.52
-0.03536    0.10    6.52
-0.03532    0.10    6.52
-0.03528    0.10    6.52
-0.03524    0.12    6.52
-0.03520    0.10    6.56
-0.03516    0.08    6.52
-0.03512    0.06    6.52
-0.03508    0.10    6.52
-0.03504    0.10    6.52
-0.03500    0.12    6.52
-0.03496    0.10    6.52
-0.03492    0.10    6.52
-0.03488    0.10    6.56
-0.03484    0.10    6.52
-0.03480    0.10    6.52
-0.03476    0.08    6.56
-0.03472    0.08    6.52
-0.03468    0.08    6.52
-0.03464    0.10    6.52
-0.03460    0.10    6.52
-0.03456    0.08    6.52
-0.03452    0.10    6.52
-0.03448    0.10    6.52
-0.03444    0.10    6.52
-0.03440    0.10    6.52
-0.03436    0.10    6.52
-0.03432    0.10    6.52
-0.03428    0.10    6.56
-0.03424    0.24    6.56
-0.03420    0.10    6.52
-0.03416    0.08    6.52
-0.03412    0.10    6.52
-0.03408    0.10    6.52
-0.03404    0.10    6.56
-0.03400    0.10    6.52
-0.03396    0.10    6.52
-0.03392    0.08    6.52
-0.03388    0.08    6.52
-0.03384    0.10    6.56
-0.03380    0.08    6.52
-0.03376    0.10    6.52
-0.03372    0.12    6.52
-0.03368    0.12    6.52
-0.03364    0.10    6.52
-0.03360    0.10    6.52
-0.03356    0.10    6.52
-0.03352    0.06    6.52
-0.03348    0.10    6.52
-0.03344    0.10    6.52
-0.03340    0.10    6.52
-0.03336    0.10    6.52
-0.03332    0.08    6.52
-0.03328    0.10    6.52
-0.03324    0.10    6.52
-0.03320    0.10    6.52
-0.03316    0.08    6.52
-0.03312    0.12    6.56
-0.03308    0.08    6.52
-0.03304    0.08    6.52
-0.03300    0.10    6.52
-0.03296    0.08    6.52
-0.03292    0.08    6.52
-0.03288    0.10    6.52
-0.03284    0.10    6.52
-0.03280    0.10    6.52
-0.03276    0.10    6.52
-0.03272    0.08    6.52
-0.03268    0.10    6.52
-0.03264    0.10    6.52
-0.03260    0.10    6.52
-0.03256    0.10    6.52
-0.03252    0.10    6.52
-0.03248    0.10    6.52
-0.03244    0.10    6.52
-0.03240    0.08    6.52
-0.03236    0.10    6.52
-0.03232    0.12    6.52
-0.03228    0.12    6.52
-0.03224    0.10    6.52
-0.03220    0.08    6.52
-0.03216    0.10    6.56
-0.03212    0.06    6.52
-0.03208    0.10    6.52
-0.03204    0.08    6.52
-0.03200    0.08    6.52
-0.03196    0.08    6.52
-0.03192    0.10    6.52
-0.03188    0.10    6.52
-0.03184    0.08    6.52
-0.03180    0.08    6.52
-0.03176    0.10    6.52
-0.03172    0.14    6.52
-0.03168    0.10    6.52
-0.03164    0.10    6.52
-0.03160    0.10    6.52
-0.03156    0.10    6.52
-0.03152    0.12    6.52
-0.03148    0.12    6.52
-0.03144    0.12    6.52
-0.03140    0.10    6.52
-0.03136    0.08    6.52
-0.03132    0.12    6.52
-0.03128    0.08    6.52
-0.03124    0.10    6.52
-0.03120    0.10    6.52
-0.03116    0.10    6.52
-0.03112    0.12    6.52
-0.03108    0.10    6.52
-0.03104    0.10    6.52
-0.03100    0.08    6.52
-0.03096    0.10    6.48
-0.03092    0.12    6.52
-0.03088    0.10    6.52
-0.03084    0.10    6.52
-0.03080    0.08    6.52
-0.03076    0.08    6.52
-0.03072    0.02    6.52
-0.03068    0.08    6.52
-0.03064    0.10    6.52
-0.03060    0.10    6.52
-0.03056    0.08    6.52
-0.03052    0.12    6.52
-0.03048    0.10    6.52
-0.03044    0.10    6.52
-0.03040    0.08    6.52
-0.03036    0.10    6.52
-0.03032    0.10    6.52
-0.03028    0.10    6.52
-0.03024    0.10    6.52
-0.03020    0.12    6.52
-0.03016    0.10    6.52
-0.03012    0.08    6.52
-0.03008    0.10    6.52
-0.03004    0.08    6.52
-0.03000    0.08    6.52
-0.02996    0.10    6.52
-0.02992    0.08    6.52
-0.02988    0.08    6.52
-0.02984    0.10    6.52
-0.02980    0.10    6.52
-0.02976    0.08    6.52
-0.02972    0.08    6.52
-0.02968    0.08    6.52
-0.02964    0.10    6.52
-0.02960    0.10    6.52
-0.02956    0.10    6.52
-0.02952    0.10    6.52
-0.02948    0.10    6.52
-0.02944    0.10    6.52
-0.02940    0.10    6.52
-0.02936    0.10    6.52
-0.02932    0.12    6.52
-0.02928    0.10    6.52
-0.02924    0.10    6.52
-0.02920    0.10    6.52
-0.02916    0.10    6.52
-0.02912    0.10    6.52
-0.02908    0.10    6.52
-0.02904    0.10    6.52
-0.02900    0.08    6.52
-0.02896    0.10    6.52
-0.02892    0.10    6.52
-0.02888    0.10    6.52
-0.02884    0.10    6.52
-0.02880    0.08    6.56
-0.02876    0.08    6.52
-0.02872    0.10    6.52
-0.02868    0.10    6.52
-0.02864    0.10    6.52
-0.02860    0.10    6.52
-0.02856    0.10    6.52
-0.02852    0.10    6.52
-0.02848    0.08    6.52
-0.02844    0.10    6.52
-0.02840    0.12    6.52
-0.02836    0.10    6.52
-0.02832    0.10    6.52
-0.02828    0.08    6.52
-0.02824    0.12    6.52
-0.02820    0.10    6.52
-0.02816    0.08    6.52
-0.02812    0.10    6.52
-0.02808    0.10    6.52
-0.02804    0.10    6.52
-0.02800    0.08    6.52
-0.02796    0.10    6.52
-0.02792    0.10    6.52
-0.02788    0.10    6.52
-0.02784    0.10    6.52
-0.02780    0.10    6.52
-0.02776    0.10    6.52
-0.02772    0.10    6.56
-0.02768    0.10    6.52
-0.02764    0.12    6.52
-0.02760    0.10    6.52
-0.02756    0.10    6.52
-0.02752    0.10    6.52
-0.02748    0.12    6.52
-0.02744    0.10    6.52
-0.02740    0.10    6.52
-0.02736    0.10    6.52
-0.02732    0.10    6.52
-0.02728    0.10    6.52
-0.02724    0.10    6.52
-0.02720    0.12    6.52
-0.02716    0.10    6.52
-0.02712    0.12    6.52
-0.02708    0.10    6.52
-0.02704    0.12    6.52
-0.02700    0.10    6.52
-0.02696    0.10    6.52
-0.02692    0.10    6.52
-0.02688    0.10    6.52
-0.02684    0.12    6.52
-0.02680    0.10    6.52
-0.02676    0.10    6.52
-0.02672    0.10    6.52
-0.02668    0.10    6.52
-0.02664    0.10    6.52
-0.02660    0.12    6.52
-0.02656    0.10    6.52
-0.02652    0.10    6.52
-0.02648    0.10    6.52
-0.02644    0.10    6.52
-0.02640    0.10    6.52
-0.02636    0.10    6.56
-0.02632    0.12    6.52
-0.02628    0.10    6.52
-0.02624    0.10    6.52
-0.02620    0.10    6.52
-0.02616    0.10    6.52
-0.02612    0.10    6.52
-0.02608    0.04    6.52
-0.02604    0.10    6.52
-0.02600    0.08    6.52
-0.02596    0.10    6.52
-0.02592    0.12    6.52
-0.02588    0.12    6.52
-0.02584    0.10    6.52
-0.02580    0.10    6.52
-0.02576    0.08    6.52
-0.02572    0.10    6.52
-0.02568    0.10    6.52
-0.02564    0.08    6.52
-0.02560    0.10    6.52
-0.02556    0.12    6.52
-0.02552    0.10    6.52
-0.02548    0.10    6.52
-0.02544    0.10    6.52
-0.02540    0.08    6.52
-0.02536    0.08    6.52
-0.02532    0.10    6.52
-0.02528    0.10    6.52
-0.02524    0.10    6.52
-0.02520    0.10    6.52
-0.02516    0.10    6.52
-0.02512    0.12    6.52
-0.02508    0.08    6.52
-0.02504    0.10    6.52
-0.02500    0.12    6.52
-0.02496    0.10    6.52
-0.02492    0.10    6.52
-0.02488    0.10    6.52
-0.02484    0.10    6.56
-0.02480    0.10    6.52
-0.02476    0.10    6.52
-0.02472    0.10    6.52
-0.02468    0.10    6.52
-0.02464    0.10    6.52
-0.02460    0.10    6.52
-0.02456    0.08    6.52
-0.02452    0.10    6.52
-0.02448    0.10    6.52
-0.02444    0.08    6.52
-0.02440    0.10    6.52
-0.02436    0.10    6.52
-0.02432    0.08    6.52
-0.02428    0.08    6.52
-0.02424    0.10    6.56
