Time       Trigger  Sample
-0.00240    0.08    6.52
-0.00239    0.10    6.52
-0.00238    0.10    6.52
-0.00237    0.12    6.56
-0.00236    0.12    6.56
-0.00235    0.10    6.56
-0.00234    0.12    6.56
-0.00233    0.10    6.52
-0.00232    0.10    6.56
-0.00231    0.10    6.52
-0.00230    0.08    6.52
-0.00229    0.18    6.56
-0.00228    0.10    6.56
-0.00227    0.10    6.52
-0.00226    0.10    6.56
-0.00225    0.10    6.52
-0.00224    0.10    6.56
-0.00223    0.10    6.52
-0.00222    0.08    6.52
-0.00221    0.10    6.52
-0.00220    0.10    6.56
-0.00219    0.10    6.56
-0.00218    0.10    6.52
-0.00217    0.10    6.52
-0.00216    0.08    6.56
-0.00215    0.10    6.52
-0.00214    0.12    6.56
-0.00213    0.10    6.52
-0.00212    0.08    6.52
-0.00211    0.08    6.56
-0.00210    0.10    6.52
-0.00209    0.04    6.56
-0.00208    0.08    6.52
-0.00207    0.10    6.52
-0.00206    0.10    6.52
-0.00205    0.10    6.52
-0.00204    0.10    6.52
-0.00203    0.10    6.52
-0.00202    0.10    6.52
-0.00201    0.10    6.56
-0.00200    0.12    6.56
-0.00199    0.12    6.52
-0.00198    0.10    6.52
-0.00197    0.08    6.52
-0.00196    0.10    6.52
-0.00195    0.18    6.52
-0.00194    0.10    6.56
-0.00193    0.10    6.52
-0.00192    0.10    6.52
-0.00191    0.12    6.56
-0.00190    0.10    6.52
-0.00189    0.12    6.56
-0.00188    0.10    6.56
-0.00187    0.10    6.52
-0.00186    0.10    6.52
-0.00185    0.10    6.52
-0.00184    0.10    6.56
-0.00183    0.10    6.52
-0.00182    0.10    6.52
-0.00181    0.10    6.52
-0.00180    0.10    6.52
-0.00179    0.10    6.56
-0.00178    0.10    6.56
-0.00177    0.10    6.52
-0.00176    0.08    6.52
-0.00175    0.10    6.52
-0.00174    0.10    6.52
-0.00173    0.12    6.56
-0.00172    0.10    6.52
-0.00171    0.10    6.56
-0.00170    0.10    6.56
-0.00169    0.10    6.52
-0.00168    0.10    6.56
-0.00167    0.10    6.56
-0.00166    0.08    6.52
-0.00165    0.10    6.56
-0.00164    0.12    6.56
-0.00163    0.10    6.56
-0.00162    0.10    6.56
-0.00161    0.10    6.52
-0.00160    0.10    6.56
-0.00159    0.10    6.52
-0.00158    0.12    6.56
-0.00157    0.10    6.52
-0.00156    0.08    6.52
-0.00155    0.18    6.56
-0.00154    0.10    6.52
-0.00153    0.10    6.52
-0.00152    0.10    6.56
-0.00151    0.08    6.56
-0.00150    0.08    6.56
-0.00149    0.18    6.56
-0.00148    0.10    6.56
-0.00147    0.10    6.52
-0.00146    0.10    6.52
-0.00145    0.10    6.56
-0.00144    0.12    6.52
-0.00143    0.10    6.56
-0.00142    0.10    6.52
-0.00141    0.10    6.52
-0.00140    0.10    6.56
-0.00139    0.10    6.56
-0.00138    0.10    6.56
-0.00137    0.10    6.52
-0.00136    0.12    6.52
-0.00135    0.12    6.52
-0.00134    0.10    6.56
-0.00133    0.10    6.52
-0.00132    0.12    6.56
-0.00131    0.10    6.56
-0.00130    0.10    6.52
-0.00129    0.28    6.56
-0.00128    0.10    6.52
-0.00127    0.12    6.56
-0.00126    0.10    6.52
-0.00125    0.08    6.56
-0.00124    0.10    6.52
-0.00123    0.10    6.52
-0.00122    0.10    6.56
-0.00121    0.10    6.56
-0.00120    0.10    6.52
-0.00119    0.10    6.52
-0.00118    0.10    6.52
-0.00117    0.10    6.52
-0.00116    0.14    6.52
-0.00115    0.16    6.52
-0.00114    0.10    6.52
-0.00113    0.08    6.52
-0.00112    0.10    6.52
-0.00111    0.08    6.52
-0.00110    0.10    6.52
-0.00109    0.18    6.56
-0.00108    0.10    6.52
-0.00107    0.08    6.56
-0.00106    0.10    6.56
-0.00105    0.10    6.56
-0.00104    0.10    6.56
-0.00103    0.10    6.52
-0.00102    0.08    6.52
-0.00101    0.10    6.56
-0.00100    0.10    6.52
-0.00099    0.10    6.56
-0.00098    0.10    6.52
-0.00097    0.10    6.56
-0.00096    0.12    6.56
-0.00095    0.00    6.52
-0.00094    0.10    6.56
-0.00093    0.12    6.56
-0.00092    0.10    6.56
-0.00091    0.10    6.56
-0.00090    0.10    6.52
-0.00089    0.18    6.56
-0.00088    0.10    6.56
-0.00087    0.10    6.56
-0.00086    0.08    6.56
-0.00085    0.10    6.56
-0.00084    0.10    6.52
-0.00083    0.10    6.56
-0.00082    0.10    6.52
-0.00081    0.10    6.56
-0.00080    0.10    6.56
-0.00079    0.08    6.52
-0.00078    0.10    6.52
-0.00077    0.10    6.56
-0.00076    0.10    6.52
-0.00075    0.12    6.52
-0.00074    0.10    6.56
-0.00073    0.08    6.56
-0.00072    0.10    6.52
-0.00071    0.10    6.56
-0.00070    0.12    6.56
-0.00069    0.02    6.56
-0.00068    0.10    6.56
-0.00067    0.10    6.52
-0.00066    0.12    6.56
-0.00065    0.10    6.52
-0.00064    0.10    6.56
-0.00063    0.08    6.52
-0.00062    0.10    6.52
-0.00061    0.10    6.52
-0.00060    0.10    6.52
-0.00059    0.10    6.56
-0.00058    0.12    6.52
-0.00057    0.12    6.56
-0.00056    0.12    6.52
-0.00055    0.04    6.52
-0.00054    0.10    6.56
-0.00053    0.10    6.52
-0.00052    0.12    6.52
-0.00051    0.10    6.56
-0.00050    0.10    6.52
-0.00049    0.16    6.56
-0.00048    0.12    6.52
-0.00047    0.10    6.56
-0.00046    0.08    6.52
-0.00045    0.10    6.52
-0.00044    0.10    6.52
-0.00043    0.10    6.52
-0.00042    0.10    6.56
-0.00041    0.12    6.52
-0.00040    0.12    6.56
-0.00039    0.10    6.52
-0.00038    0.10    6.56
-0.00037    0.08    6.56
-0.00036    0.12    6.52
-0.00035    0.10    6.52
-0.00034    0.10    6.52
-0.00033    0.10    6.56
-0.00032    0.08    6.56
-0.00031    0.12    6.56
-0.00030    0.08    6.56
-0.00029    0.12    6.56
-0.00028    0.10    6.56
-0.00027    0.10    6.56
-0.00026    0.10    6.56
-0.00025    0.10    6.56
-0.00024    0.10    6.52
-0.00023    0.08    6.56
-0.00022    0.10    6.52
-0.00021    0.08    6.56
-0.00020    0.12    6.56
-0.00019    0.12    6.52
-0.00018    0.10    6.52
-0.00017    0.08    6.52
-0.00016    0.12    6.52
-0.00015    0.04    6.52
-0.00014    0.10    6.56
-0.00013    0.10    6.60
-0.00012    0.10    6.56
-0.00011    0.10    6.56
-0.00010    0.10    6.52
-0.00009    0.08    6.52
-0.00008    0.10    6.56
-0.00007    0.08    6.52
-0.00006    0.10    6.52
-0.00005    0.10    6.52
-0.00004    0.10    6.56
-0.00003    0.08    6.52
-0.00002    0.10    6.56
-0.00001    0.10    6.56
00.00000    4.26    6.52
00.00001    4.26    6.56
00.00002    4.26    6.52
00.00003    4.26    6.56
00.00004    4.26    6.56
00.00005    4.26    6.56
00.00006    4.26    6.56
00.00007    4.26    6.56
00.00008    4.26    6.56
00.00009    4.26    6.56
00.00010    4.26    6.52
00.00011    4.26    6.56
00.00012    4.26    6.52
00.00013    4.26    6.56
00.00014    4.26    6.56
00.00015    4.26    6.56
00.00016    4.26    6.56
00.00017    4.26    6.56
00.00018    4.26    6.56
00.00019    4.26    6.56
00.00020    4.26    6.56
00.00021    4.26    6.52
00.00022    4.26    6.56
00.00023    4.26    6.60
00.00024    4.26    6.56
00.00025    4.26    6.52
00.00026    4.26    6.56
00.00027    4.26    6.56
00.00028    4.26    6.56
00.00029    4.26    6.56
00.00030    4.26    6.52
00.00031    4.26    6.60
00.00032    4.26    6.56
00.00033    4.26    6.56
00.00034    4.26    6.56
00.00035    4.26    6.56
00.00036    4.26    6.56
00.00037    4.26    6.56
00.00038    4.26    6.56
00.00039    4.26    6.56
00.00040    4.26    6.56
00.00041    4.26    6.56
00.00042    4.26    6.56
00.00043    4.26    6.56
00.00044    4.26    6.56
00.00045    4.26    6.52
00.00046    4.26    6.56
00.00047    4.26    6.56
00.00048    4.26    6.56
00.00049    4.26    6.56
00.00050    4.26    6.56
00.00051    4.26    6.52
00.00052    4.26    6.56
00.00053    4.26    6.56
00.00054    4.26    6.56
00.00055    4.26    6.56
00.00056    4.26    6.56
00.00057    4.26    6.52
00.00058    4.26    6.56
00.00059    4.26    6.52
00.00060    4.26    6.56
00.00061    4.26    6.56
00.00062    4.26    6.56
00.00063    4.26    6.56
00.00064    4.26    6.52
00.00065    4.26    6.56
00.00066    4.26    6.56
00.00067    4.26    6.52
00.00068    4.26    6.52
00.00069    4.26    6.56
00.00070    4.26    6.56
00.00071    4.26    6.56
00.00072    4.26    6.56
00.00073    4.26    6.56
00.00074    4.26    6.56
00.00075    4.26    6.56
00.00076    4.26    6.56
00.00077    4.26    6.56
00.00078    4.26    6.52
00.00079    4.26    6.52
00.00080    4.26    6.56
00.00081    4.26    6.56
00.00082    4.26    6.56
00.00083    4.26    6.56
00.00084    4.26    6.56
00.00085    4.26    6.56
00.00086    4.26    6.56
00.00087    4.26    6.56
00.00088    4.26    6.56
00.00089    4.26    6.56
00.00090    4.26    6.56
00.00091    4.26    6.56
00.00092    4.26    6.56
00.00093    4.26    6.52
00.00094    4.26    6.56
00.00095    4.26    6.56
00.00096    4.26    6.56
00.00097    4.26    6.56
00.00098    4.26    6.56
00.00099    4.26    6.56
00.00100    4.26    6.56
00.00101    4.26    6.56
00.00102    4.26    6.56
00.00103    4.26    6.56
00.00104    4.26    6.56
00.00105    4.26    6.56
00.00106    4.26    6.52
00.00107    4.26    6.56
00.00108    4.26    6.56
00.00109    4.26    6.56
00.00110    4.26    6.56
00.00111    4.26    6.56
00.00112    4.26    6.56
00.00113    4.26    6.56
00.00114    4.26    6.56
00.00115    4.26    6.56
00.00116    4.26    6.56
00.00117    4.26    6.56
00.00118    4.26    6.56
00.00119    4.26    6.56
00.00120    4.26    6.56
00.00121    4.26    6.56
00.00122    4.26    6.56
00.00123    4.26    6.52
00.00124    4.26    6.56
00.00125    4.26    6.56
00.00126    4.26    6.56
00.00127    4.26    6.56
00.00128    4.26    6.56
00.00129    4.26    6.56
00.00130    4.26    6.56
00.00131    4.26    6.56
00.00132    4.26    6.52
00.00133    4.26    6.56
00.00134    4.26    6.56
00.00135    4.26    6.56
00.00136    4.26    6.52
00.00137    4.26    6.56
00.00138    4.26    6.56
00.00139    4.26    6.56
00.00140    4.26    6.56
00.00141    4.26    6.52
00.00142    4.26    6.56
00.00143    4.26    6.56
00.00144    4.26    6.56
00.00145    4.26    6.60
00.00146    4.26    6.56
00.00147    4.26    6.56
00.00148    4.26    6.56
00.00149    4.26    6.56
00.00150    4.26    6.52
00.00151    4.26    6.56
00.00152    4.26    6.56
00.00153    4.26    6.56
00.00154    4.26    6.56
00.00155    4.26    6.56
00.00156    4.26    6.56
00.00157    4.26    6.56
00.00158    4.26    6.56
00.00159    4.26    6.56
00.00160    4.26    6.56
00.00161    4.26    6.56
00.00162    4.26    6.56
00.00163    4.26    6.56
00.00164    4.26    6.56
00.00165    4.26    6.60
00.00166    4.26    6.56
00.00167    4.26    6.56
00.00168    4.26    6.56
00.00169    4.26    6.56
00.00170    4.26    6.56
00.00171    4.26    6.52
00.00172    4.26    6.56
00.00173    4.26    6.56
00.00174    4.26    6.56
00.00175    4.26    6.56
00.00176    4.26    6.56
00.00177    4.26    6.56
00.00178    4.26    6.56
00.00179    4.26    6.56
00.00180    4.26    6.56
00.00181    4.26    6.56
00.00182    4.26    6.56
00.00183    4.26    6.56
00.00184    4.26    6.56
00.00185    4.26    6.56
00.00186    4.26    6.56
00.00187    4.26    6.56
00.00188    4.26    6.52
00.00189    4.26    6.56
00.00190    4.26    6.56
00.00191    4.26    6.56
00.00192    4.26    6.56
00.00193    4.26    6.56
00.00194    4.26    6.56
00.00195    4.26    6.56
00.00196    4.26    6.56
00.00197    4.26    6.56
00.00198    4.26    6.52
00.00199    4.26    6.52
00.00200    4.26    6.56
00.00201    4.26    6.52
00.00202    4.26    6.56
00.00203    4.26    6.52
00.00204    4.26    6.56
00.00205    4.26    6.52
00.00206    4.26    6.52
00.00207    4.26    6.56
00.00208    4.26    6.56
00.00209    4.26    6.56
00.00210    4.26    6.56
00.00211    4.26    6.56
00.00212    4.26    6.56
00.00213    4.26    6.56
00.00214    4.26    6.52
00.00215    4.26    6.52
00.00216    4.26    6.56
00.00217    4.26    6.56
00.00218    4.26    6.56
00.00219    4.26    6.56
00.00220    4.26    6.56
00.00221    4.26    6.56
00.00222    4.26    6.56
00.00223    4.26    6.56
00.00224    4.26    6.56
00.00225    4.26    6.52
00.00226    4.26    6.56
00.00227    4.26    6.56
00.00228    4.26    6.56
00.00229    4.26    6.56
00.00230    4.26    6.56
00.00231    4.26    6.56
00.00232    4.26    6.56
00.00233    4.26    6.52
00.00234    4.26    6.56
00.00235    4.26    6.56
00.00236    4.26    6.56
00.00237    4.26    6.56
00.00238    4.26    6.52
00.00239    4.26    6.56
00.00240    4.26    6.56
00.00241    4.26    6.56
00.00242    4.26    6.56
00.00243    4.26    6.56
00.00244    4.26    6.56
00.00245    4.26    6.56
00.00246    4.26    6.56
00.00247    4.26    6.52
00.00248    4.26    6.56
00.00249    4.26    6.56
00.00250    4.26    6.56
00.00251    4.26    6.56
00.00252    4.26    6.52
00.00253    4.26    6.56
00.00254    4.26    6.56
00.00255    4.26    6.52
00.00256    4.26    6.56
00.00257    4.26    6.56
00.00258    4.26    6.56
00.00259    4.26    6.56
00.00260    4.26    6.56
00.00261    4.26    6.52
00.00262    4.26    6.56
00.00263    4.26    6.56
00.00264    4.26    6.56
00.00265    4.26    6.56
00.00266    4.26    6.56
00.00267    4.26    6.56
00.00268    4.26    6.56
