Time       Trigger  Sample
-0.00703    0.10    6.44
-0.00702    0.12    6.44
-0.00701    0.10    6.44
-0.00700    0.10    6.48
-0.00699    0.10    6.44
-0.00698    0.10    6.44
-0.00697    0.10    6.44
-0.00696    0.10    6.44
-0.00695    0.10    6.44
-0.00694    0.10    6.44
-0.00693    0.10    6.44
-0.00692    0.10    6.44
-0.00691    0.10    6.48
-0.00690    0.12    6.44
-0.00689    0.10    6.48
-0.00688    0.10    6.44
-0.00687    0.10    6.44
-0.00686    0.10    6.44
-0.00685    0.10    6.44
-0.00684    0.10    6.48
-0.00683    0.10    6.48
-0.00682    0.10    6.48
-0.00681    0.12    6.44
-0.00680    0.12    6.44
-0.00679    0.12    6.44
-0.00678    0.12    6.48
-0.00677    0.10    6.44
-0.00676    0.12    6.48
-0.00675    0.10    6.44
-0.00674    0.10    6.48
-0.00673    0.10    6.44
-0.00672    0.12    6.44
-0.00671    0.10    6.44
-0.00670    0.12    6.48
-0.00669    0.12    6.48
-0.00668    0.10    6.48
-0.00667    0.10    6.48
-0.00666    0.12    6.44
-0.00665    0.12    6.48
-0.00664    0.10    6.44
-0.00663    0.04    6.44
-0.00662    0.10    6.48
-0.00661    0.12    6.48
-0.00660    0.10    6.44
-0.00659    0.12    6.44
-0.00658    0.12    6.48
-0.00657    0.08    6.44
-0.00656    0.10    6.44
-0.00655    0.10    6.44
-0.00654    0.12    6.44
-0.00653    0.10    6.44
-0.00652    0.10    6.44
-0.00651    0.10    6.44
-0.00650    0.12    6.48
-0.00649    0.12    6.48
-0.00648    0.10    6.44
-0.00647    0.12    6.48
-0.00646    0.10    6.48
-0.00645    0.10    6.48
-0.00644    0.10    6.44
-0.00643    0.12    6.48
-0.00642    0.12    6.44
-0.00641    0.10    6.44
-0.00640    0.12    6.48
-0.00639    0.12    6.44
-0.00638    0.08    6.44
-0.00637    0.12    6.44
-0.00636    0.10    6.44
-0.00635    0.10    6.48
-0.00634    0.12    6.44
-0.00633    0.10    6.44
-0.00632    0.10    6.44
-0.00631    0.12    6.44
-0.00630    0.12    6.48
-0.00629    0.10    6.44
-0.00628    0.10    6.44
-0.00627    0.10    6.48
-0.00626    0.10    6.44
-0.00625    0.10    6.44
-0.00624    0.12    6.44
-0.00623    0.10    6.44
-0.00622    0.10    6.44
-0.00621    0.12    6.44
-0.00620    0.10    6.44
-0.00619    0.10    6.48
-0.00618    0.06    6.44
-0.00617    0.10    6.44
-0.00616    0.10    6.48
-0.00615    0.10    6.44
-0.00614    0.10    6.44
-0.00613    0.12    6.44
-0.00612    0.10    6.44
-0.00611    0.12    6.44
-0.00610    0.10    6.44
-0.00609    0.10    6.44
-0.00608    0.12    6.44
-0.00607    0.10    6.48
-0.00606    0.12    6.48
-0.00605    0.08    6.44
-0.00604    0.10    6.44
-0.00603    0.12    6.48
-0.00602    0.12    6.48
-0.00601    0.10    6.44
-0.00600    0.10    6.48
-0.00599    0.12    6.44
-0.00598    0.12    6.44
-0.00597    0.10    6.44
-0.00596    0.10    6.44
-0.00595    0.12    6.44
-0.00594    0.10    6.44
-0.00593    0.12    6.44
-0.00592    0.10    6.44
-0.00591    0.10    6.44
-0.00590    0.10    6.48
-0.00589    0.12    6.48
-0.00588    0.10    6.44
-0.00587    0.10    6.44
-0.00586    0.12    6.48
-0.00585    0.14    6.44
-0.00584    0.10    6.44
-0.00583    0.10    6.44
-0.00582    0.10    6.48
-0.00581    0.10    6.44
-0.00580    0.10    6.44
-0.00579    0.10    6.48
-0.00578    0.10    6.44
-0.00577    0.10    6.48
-0.00576    0.10    6.44
-0.00575    0.12    6.48
-0.00574    0.10    6.44
-0.00573    0.10    6.44
-0.00572    0.10    6.44
-0.00571    0.10    6.48
-0.00570    0.10    6.48
-0.00569    0.12    6.48
-0.00568    0.10    6.44
-0.00567    0.12    6.44
-0.00566    0.08    6.44
-0.00565    0.10    6.48
-0.00564    0.10    6.44
-0.00563    0.12    6.48
-0.00562    0.10    6.44
-0.00561    0.10    6.48
-0.00560    0.10    6.44
-0.00559    0.10    6.44
-0.00558    0.10    6.44
-0.00557    0.10    6.44
-0.00556    0.10    6.44
-0.00555    0.10    6.48
-0.00554    0.10    6.44
-0.00553    0.10    6.44
-0.00552    0.12    6.44
-0.00551    0.10    6.44
-0.00550    0.18    6.44
-0.00549    0.10    6.48
-0.00548    0.12    6.44
-0.00547    0.12    6.44
-0.00546    0.12    6.44
-0.00545    0.10    6.44
-0.00544    0.10    6.48
-0.00543    0.10    6.44
-0.00542    0.12    6.44
-0.00541    0.10    6.44
-0.00540    0.10    6.48
-0.00539    0.12    6.44
-0.00538    0.12    6.44
-0.00537    0.10    6.44
-0.00536    0.10    6.44
-0.00535    0.10    6.44
-0.00534    0.10    6.48
-0.00533    0.10    6.44
-0.00532    0.10    6.44
-0.00531    0.12    6.44
-0.00530    0.12    6.44
-0.00529    0.10    6.44
-0.00528    0.12    6.48
-0.00527    0.14    6.44
-0.00526    0.10    6.44
-0.00525    0.10    6.44
-0.00524    0.12    6.44
-0.00523    0.08    6.44
-0.00522    0.10    6.44
-0.00521    0.12    6.44
-0.00520    0.10    6.48
-0.00519    0.08    6.44
-0.00518    0.10    6.44
-0.00517    0.10    6.44
-0.00516    0.10    6.44
-0.00515    0.12    6.44
-0.00514    0.10    6.48
-0.00513    0.12    6.44
-0.00512    0.10    6.44
-0.00511    0.10    6.44
-0.00510    0.10    6.48
-0.00509    0.08    6.40
-0.00508    0.10    6.44
-0.00507    0.10    6.48
-0.00506    0.12    6.44
-0.00505    0.10    6.44
-0.00504    0.10    6.44
-0.00503    0.10    6.44
-0.00502    0.20    6.48
-0.00501    0.12    6.44
-0.00500    0.12    6.48
-0.00499    0.10    6.48
-0.00498    0.10    6.44
-0.00497    0.10    6.44
-0.00496    0.12    6.48
-0.00495    0.10    6.44
-0.00494    0.10    6.44
-0.00493    0.10    6.48
-0.00492    0.10    6.48
-0.00491    0.10    6.44
-0.00490    0.10    6.48
-0.00489    0.12    6.44
-0.00488    0.00    6.44
-0.00487    0.10    6.44
-0.00486    0.10    6.44
-0.00485    0.10    6.44
-0.00484    0.10    6.48
-0.00483    0.10    6.44
-0.00482    0.10    6.44
-0.00481    0.10    6.44
-0.00480    0.10    6.48
-0.00479    0.10    6.44
-0.00478    0.12    6.44
-0.00477    0.10    6.44
-0.00476    0.10    6.48
-0.00475    0.10    6.44
-0.00474    0.10    6.44
-0.00473    0.10    6.44
-0.00472    0.12    6.44
-0.00471    0.12    6.48
-0.00470    0.10    6.44
-0.00469    0.12    6.44
-0.00468    0.10    6.44
-0.00467    0.10    6.44
-0.00466    0.12    6.44
-0.00465    0.10    6.44
-0.00464    0.10    6.44
-0.00463    0.12    6.44
-0.00462    0.12    6.44
-0.00461    0.10    6.48
-0.00460    0.12    6.44
-0.00459    0.12    6.48
-0.00458    0.12    6.44
-0.00457    0.12    6.44
-0.00456    0.10    6.44
-0.00455    0.10    6.44
-0.00454    0.12    6.44
-0.00453    0.10    6.44
-0.00452    0.10    6.44
-0.00451    0.10    6.44
-0.00450    0.10    6.44
-0.00449    0.10    6.44
-0.00448    0.10    6.44
-0.00447    0.10    6.44
-0.00446    0.12    6.44
-0.00445    0.12    6.48
-0.00444    0.12    6.44
-0.00443    0.12    6.44
-0.00442    0.12    6.44
-0.00441    0.10    6.48
-0.00440    0.10    6.44
-0.00439    0.12    6.44
-0.00438    0.10    6.44
-0.00437    0.12    6.44
-0.00436    0.10    6.48
-0.00435    0.12    6.44
-0.00434    0.12    6.48
-0.00433    0.10    6.48
-0.00432    0.10    6.44
-0.00431    0.12    6.44
-0.00430    0.16    6.44
-0.00429    0.10    6.44
-0.00428    0.10    6.44
-0.00427    0.10    6.44
-0.00426    0.12    6.44
-0.00425    0.12    6.44
-0.00424    0.10    6.48
-0.00423    0.12    6.44
-0.00422    0.10    6.44
-0.00421    0.10    6.48
-0.00420    0.12    6.44
-0.00419    0.10    6.48
-0.00418    0.10    6.44
-0.00417    0.12    6.44
-0.00416    0.10    6.48
-0.00415    0.10    6.48
-0.00414    0.12    6.48
-0.00413    0.10    6.44
-0.00412    0.12    6.48
-0.00411    0.08    6.44
-0.00410    0.10    6.44
-0.00409    0.10    6.48
-0.00408    0.10    6.48
-0.00407    0.12    6.44
-0.00406    0.12    6.44
-0.00405    0.10    6.44
-0.00404    0.10    6.44
-0.00403    0.12    6.48
-0.00402    0.10    6.48
-0.00401    0.10    6.44
-0.00400    0.10    6.48
-0.00399    0.10    6.48
-0.00398    0.10    6.44
-0.00397    0.10    6.44
-0.00396    0.10    6.44
-0.00395    0.10    6.44
-0.00394    0.12    6.44
-0.00393    0.10    6.48
-0.00392    0.12    6.44
-0.00391    -0.02   6.44
-0.00390    0.12    6.48
-0.00389    0.10    6.44
-0.00388    0.10    6.48
-0.00387    0.10    6.44
-0.00386    0.16    6.48
-0.00385    0.10    6.48
-0.00384    0.10    6.48
-0.00383    0.12    6.44
-0.00382    0.10    6.44
-0.00381    0.12    6.44
-0.00380    0.10    6.44
-0.00379    0.10    6.48
-0.00378    0.10    6.44
-0.00377    0.12    6.44
-0.00376    0.10    6.44
-0.00375    0.10    6.44
-0.00374    0.12    6.44
-0.00373    0.10    6.44
-0.00372    0.12    6.44
-0.00371    0.10    6.48
-0.00370    0.12    6.44
-0.00369    0.10    6.44
-0.00368    0.10    6.48
-0.00367    0.12    6.48
-0.00366    0.10    6.44
-0.00365    0.12    6.44
-0.00364    0.10    6.44
-0.00363    0.12    6.48
-0.00362    0.10    6.44
-0.00361    0.12    6.44
-0.00360    0.10    6.44
-0.00359    0.10    6.44
-0.00358    0.10    6.48
-0.00357    0.10    6.44
-0.00356    0.10    6.44
-0.00355    0.10    6.48
-0.00354    0.10    6.48
-0.00353    0.12    6.48
-0.00352    0.12    6.48
-0.00351    0.10    6.44
-0.00350    0.10    6.44
-0.00349    0.10    6.48
-0.00348    0.10    6.44
-0.00347    0.10    6.44
-0.00346    0.12    6.44
-0.00345    0.14    6.52
-0.00344    0.10    6.48
-0.00343    0.10    6.44
-0.00342    0.12    6.44
-0.00341    0.10    6.44
-0.00340    0.12    6.44
-0.00339    0.12    6.44
-0.00338    0.10    6.48
-0.00337    0.10    6.44
-0.00336    0.10    6.48
-0.00335    0.10    6.44
-0.00334    0.12    6.44
-0.00333    -0.02   6.44
-0.00332    0.10    6.44
-0.00331    0.10    6.48
-0.00330    0.12    6.48
-0.00329    0.10    6.44
-0.00328    0.10    6.44
-0.00327    0.12    6.44
-0.00326    0.10    6.44
-0.00325    0.10    6.44
-0.00324    0.12    6.48
-0.00323    0.10    6.48
-0.00322    0.10    6.48
-0.00321    0.10    6.48
-0.00320    0.12    6.48
-0.00319    0.10    6.44
-0.00318    0.10    6.48
-0.00317    0.12    6.44
-0.00316    0.10    6.44
-0.00315    0.10    6.44
-0.00314    0.16    6.44
-0.00313    0.08    6.44
-0.00312    0.10    6.44
-0.00311    0.10    6.48
-0.00310    0.10    6.48
-0.00309    0.12    6.44
-0.00308    0.10    6.44
-0.00307    0.10    6.48
-0.00306    0.12    6.44
-0.00305    0.12    6.44
-0.00304    0.12    6.44
-0.00303    0.10    6.44
-0.00302    0.10    6.44
-0.00301    0.12    6.44
-0.00300    0.10    6.48
-0.00299    0.10    6.44
-0.00298    0.10    6.44
-0.00297    0.12    6.48
-0.00296    0.12    6.48
-0.00295    0.10    6.44
-0.00294    0.12    6.44
-0.00293    0.12    6.48
-0.00292    0.10    6.48
-0.00291    0.10    6.44
-0.00290    0.10    6.44
-0.00289    0.10    6.44
-0.00288    0.10    6.44
-0.00287    0.12    6.48
-0.00286    0.10    6.48
-0.00285    0.10    6.44
-0.00284    0.12    6.44
-0.00283    0.10    6.48
-0.00282    0.10    6.44
-0.00281    0.10    6.44
-0.00280    0.10    6.44
-0.00279    0.12    6.44
-0.00278    0.10    6.48
-0.00277    0.10    6.44
-0.00276    0.10    6.40
-0.00275    0.12    6.48
-0.00274    0.10    6.48
-0.00273    0.10    6.44
-0.00272    0.10    6.44
-0.00271    0.10    6.44
